FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.468750,0.000000,343.000000,-0.205078,0.421875
1,2,0.515625,0.000000,363.000000,-0.226562,0.462891
1,3,0.562500,0.000000,147.000000,-0.246094,0.505859
1,4,0.468750,-0.250007,359.000000,-0.191406,0.427734
1,5,0.515625,-0.250007,378.000000,-0.208984,0.470703
1,6,0.562500,-0.250007,154.000000,-0.228516,0.513672
1,7,0.468750,-0.125003,638.000000,-0.205078,0.421875
1,8,0.515625,-0.125003,670.000000,-0.226562,0.462891
1,9,0.562500,-0.125003,271.000000,-0.246094,0.505859
2,1,0.421875,0.000000,159.000000,-0.158203,0.390625
2,2,0.468750,0.000000,394.000000,-0.191406,0.427734
2,3,0.515625,0.000000,347.000000,-0.208984,0.470703
2,4,0.562500,0.000000,99.000000,-0.228516,0.513672
2,5,0.421875,-0.250007,158.000000,-0.158203,0.390625
2,6,0.468750,-0.250007,393.000000,-0.175781,0.435547
2,7,0.515625,-0.250007,352.000000,-0.193359,0.478516
2,8,0.562500,-0.250007,103.000000,-0.210938,0.521484
2,9,0.468750,-0.125003,734.000000,-0.191406,0.427734
2,10,0.515625,-0.125003,646.000000,-0.208984,0.470703
2,11,0.562500,-0.125003,185.000000,-0.228516,0.513672
3,1,0.421875,0.000000,252.000000,-0.185547,0.378906
3,2,0.468750,0.000000,514.000000,-0.205078,0.421875
3,3,0.515625,0.000000,385.000000,-0.226562,0.462891
3,4,0.562500,0.000000,91.000000,-0.246094,0.505859
3,5,0.421875,-0.250007,227.000000,-0.171875,0.384766
3,6,0.468750,-0.250007,463.000000,-0.191406,0.427734
3,7,0.515625,-0.250007,347.000000,-0.208984,0.470703
3,8,0.562500,-0.250007,81.000000,-0.228516,0.513672
3,9,0.421875,-0.125003,481.000000,-0.185547,0.378906
3,10,0.468750,-0.125003,983.000000,-0.205078,0.421875
3,11,0.515625,-0.125003,737.000000,-0.226562,0.462891
3,12,0.562500,-0.125003,173.000000,-0.246094,0.505859
4,1,0.421875,0.000000,252.000000,-0.185547,0.378906
4,2,0.468750,0.000000,514.000000,-0.205078,0.421875
4,3,0.515625,0.000000,385.000000,-0.226562,0.462891
4,4,0.562500,0.000000,91.000000,-0.246094,0.505859
4,5,0.421875,-0.250007,227.000000,-0.171875,0.384766
4,6,0.468750,-0.250007,463.000000,-0.191406,0.427734
4,7,0.515625,-0.250007,347.000000,-0.208984,0.470703
4,8,0.562500,-0.250007,81.000000,-0.228516,0.513672
4,9,0.421875,-0.125003,481.000000,-0.185547,0.378906
4,10,0.468750,-0.125003,983.000000,-0.205078,0.421875
4,11,0.515625,-0.125003,737.000000,-0.226562,0.462891
4,12,0.562500,-0.125003,173.000000,-0.246094,0.505859
5,1,0.421875,0.000000,157.000000,-0.144531,0.396484
5,2,0.468750,0.000000,309.000000,-0.162109,0.439453
5,3,0.515625,0.000000,218.000000,-0.193359,0.478516
5,4,0.562500,0.000000,43.000000,-0.210938,0.521484
5,5,0.421875,-0.250007,131.000000,-0.144531,0.396484
5,6,0.468750,-0.250007,260.000000,-0.162109,0.439453
5,7,0.515625,-0.250007,184.000000,-0.177734,0.484375
5,8,0.562500,-0.250007,36.000000,-0.193359,0.527344
5,9,0.421875,-0.125003,330.000000,-0.158203,0.390625
5,10,0.468750,-0.125003,650.000000,-0.175781,0.435547
5,11,0.515625,-0.125003,458.000000,-0.193359,0.478516
5,12,0.562500,-0.125003,89.000000,-0.210938,0.521484
6,1,0.421875,0.000000,105.000000,-0.158203,0.390625
6,2,0.468750,0.000000,187.000000,-0.162109,0.439453
6,3,0.515625,0.000000,120.000000,-0.177734,0.484375
6,4,0.562500,0.000000,19.000000,-0.193359,0.527344
6,5,0.421875,-0.250007,93.000000,-0.144531,0.396484
6,6,0.468750,-0.250007,166.000000,-0.146484,0.445312
6,7,0.515625,-0.250007,107.000000,-0.162109,0.490234
6,8,0.421875,-0.125003,253.000000,-0.158203,0.390625
6,9,0.468750,-0.125003,446.000000,-0.175781,0.435547
6,10,0.515625,-0.125003,286.000000,-0.177734,0.484375
6,11,0.562500,-0.125003,46.000000,-0.193359,0.527344
7,1,0.421875,0.000000,110.000000,-0.158203,0.390625
7,2,0.468750,0.000000,187.000000,-0.175781,0.435547
7,3,0.515625,0.000000,116.000000,-0.177734,0.484375
7,4,0.562500,0.000000,19.000000,-0.193359,0.527344
7,5,0.468750,0.125003,150.000000,-0.175781,0.435547
7,6,0.468750,0.250007,49.000000,-0.175781,0.435547
7,7,0.421875,-0.250007,103.000000,-0.144531,0.396484
7,8,0.468750,-0.250007,175.000000,-0.162109,0.439453
7,9,0.515625,-0.250007,109.000000,-0.177734,0.484375
7,10,0.421875,-0.125003,279.000000,-0.158203,0.390625
7,11,0.468750,-0.125003,473.000000,-0.175781,0.435547
7,12,0.515625,-0.125003,294.000000,-0.193359,0.478516
7,13,0.562500,-0.125003,49.000000,-0.210938,0.521484
8,1,0.421875,0.000000,110.000000,-0.158203,0.390625
8,2,0.468750,0.000000,187.000000,-0.175781,0.435547
8,3,0.515625,0.000000,116.000000,-0.177734,0.484375
8,4,0.562500,0.000000,19.000000,-0.193359,0.527344
8,5,0.468750,0.125003,150.000000,-0.175781,0.435547
8,6,0.468750,0.250007,49.000000,-0.175781,0.435547
8,7,0.421875,-0.250007,103.000000,-0.144531,0.396484
8,8,0.468750,-0.250007,175.000000,-0.162109,0.439453
8,9,0.515625,-0.250007,109.000000,-0.177734,0.484375
8,10,0.421875,-0.125003,279.000000,-0.158203,0.390625
8,11,0.468750,-0.125003,473.000000,-0.175781,0.435547
8,12,0.515625,-0.125003,294.000000,-0.193359,0.478516
8,13,0.562500,-0.125003,49.000000,-0.210938,0.521484
9,1,0.421875,0.000000,132.000000,-0.158203,0.390625
9,2,0.468750,0.000000,223.000000,-0.175781,0.435547
9,3,0.515625,0.000000,137.000000,-0.193359,0.478516
9,4,0.562500,0.000000,22.000000,-0.210938,0.521484
9,5,0.468750,0.125003,186.000000,-0.175781,0.435547
9,6,0.468750,0.250007,61.000000,-0.175781,0.435547
9,7,0.421875,-0.250007,123.000000,-0.144531,0.396484
9,8,0.468750,-0.250007,208.000000,-0.162109,0.439453
9,9,0.515625,-0.250007,130.000000,-0.177734,0.484375
9,10,0.562500,-0.250007,22.000000,-0.193359,0.527344
9,11,0.421875,-0.125003,340.000000,-0.158203,0.390625
9,12,0.468750,-0.125003,569.000000,-0.175781,0.435547
9,13,0.515625,-0.125003,350.000000,-0.193359,0.478516
9,14,0.562500,-0.125003,58.000000,-0.210938,0.521484
10,1,0.421875,0.000000,185.000000,-0.144531,0.396484
10,2,0.468750,0.000000,295.000000,-0.162109,0.439453
10,3,0.515625,0.000000,173.000000,-0.177734,0.484375
10,4,0.562500,0.000000,26.000000,-0.193359,0.527344
10,5,0.421875,-0.250007,164.000000,-0.132812,0.400391
10,6,0.468750,-0.250007,263.000000,-0.146484,0.445312
10,7,0.515625,-0.250007,155.000000,-0.162109,0.490234
10,8,0.562500,-0.250007,23.000000,-0.175781,0.535156
10,9,0.421875,-0.125003,453.000000,-0.144531,0.396484
10,10,0.468750,-0.125003,719.000000,-0.162109,0.439453
10,11,0.515625,-0.125003,421.000000,-0.177734,0.484375
10,12,0.562500,-0.125003,65.000000,-0.193359,0.527344
10,13,0.421875,-0.250007,126.000000,-0.277344,0.318359
11,1,0.421875,0.000000,386.000000,-0.158203,0.390625
11,2,0.468750,0.000000,615.000000,-0.175781,0.435547
11,3,0.515625,0.000000,356.000000,-0.193359,0.478516
11,4,0.562500,0.000000,52.000000,-0.193359,0.527344
