FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.562500,0.125003,45.000000,-0.017578,0.562500
1,2,0.609375,0.125003,99.000000,0.228516,0.564453
1,3,0.562500,0.250007,14.000000,-0.017578,0.562500
1,4,0.609375,0.250007,32.000000,0.208984,0.572266
1,5,0.562500,-0.125003,39.000000,-0.035156,0.560547
1,6,0.609375,-0.125003,78.000000,0.228516,0.564453
1,7,0.562500,0.125003,35.000000,0.193359,0.527344
1,8,0.562500,0.250007,12.000000,0.193359,0.527344
1,9,0.562500,-0.125003,28.000000,0.193359,0.527344
2,1,0.562500,0.000000,6.000000,0.228516,0.513672
2,2,0.609375,0.000000,26.000000,0.248047,0.556641
2,3,0.656250,0.000000,37.000000,0.267578,0.599609
2,4,0.515625,0.125003,33.000000,0.033203,0.515625
2,5,0.562500,0.125003,54.000000,0.017578,0.562500
2,6,0.609375,0.125003,143.000000,0.248047,0.556641
2,7,0.562500,0.250007,18.000000,0.000000,0.562500
2,8,0.609375,0.250007,47.000000,0.248047,0.556641
2,9,0.515625,-0.125003,30.000000,0.033203,0.515625
2,10,0.562500,-0.125003,50.000000,0.000000,0.562500
2,11,0.609375,-0.125003,100.000000,0.248047,0.556641
2,12,0.562500,0.125003,46.000000,0.246094,0.505859
2,13,0.562500,0.250007,15.000000,0.228516,0.513672
2,14,0.562500,-0.125003,35.000000,0.246094,0.505859
3,1,0.609375,0.000000,31.000000,0.248047,0.556641
3,2,0.656250,0.000000,44.000000,0.267578,0.599609
3,3,0.515625,0.125003,28.000000,0.033203,0.515625
3,4,0.562500,0.125003,41.000000,0.052734,0.560547
3,5,0.609375,0.125003,145.000000,0.248047,0.556641
3,6,0.609375,0.250007,49.000000,0.248047,0.556641
3,7,0.515625,-0.125003,26.000000,0.048828,0.513672
3,8,0.562500,-0.125003,37.000000,0.070312,0.558594
3,9,0.609375,-0.125003,92.000000,0.248047,0.556641
3,10,0.562500,-0.125003,31.000000,-0.140625,0.544922
4,1,0.609375,0.000000,31.000000,0.248047,0.556641
4,2,0.656250,0.000000,44.000000,0.267578,0.599609
4,3,0.515625,0.125003,28.000000,0.033203,0.515625
4,4,0.562500,0.125003,41.000000,0.052734,0.560547
4,5,0.609375,0.125003,145.000000,0.248047,0.556641
4,6,0.609375,0.250007,49.000000,0.248047,0.556641
4,7,0.515625,-0.125003,26.000000,0.048828,0.513672
4,8,0.562500,-0.125003,37.000000,0.070312,0.558594
4,9,0.609375,-0.125003,92.000000,0.248047,0.556641
4,10,0.562500,-0.125003,31.000000,-0.140625,0.544922
5,1,0.562500,0.000000,8.000000,-0.017578,0.562500
5,2,0.609375,0.000000,29.000000,0.248047,0.556641
5,3,0.656250,0.000000,38.000000,0.267578,0.599609
5,4,0.515625,0.125003,29.000000,0.097656,0.505859
5,5,0.562500,0.125003,48.000000,0.087891,0.554688
5,6,0.609375,0.125003,149.000000,0.248047,0.556641
5,7,0.562500,0.250007,15.000000,0.263672,0.496094
5,8,0.609375,0.250007,52.000000,0.248047,0.556641
5,9,0.515625,-0.125003,29.000000,0.080078,0.509766
5,10,0.562500,-0.125003,50.000000,0.087891,0.554688
5,11,0.609375,-0.125003,99.000000,0.248047,0.556641
5,12,0.562500,0.000000,7.000000,0.298828,0.476562
5,13,0.562500,0.125003,40.000000,0.281250,0.486328
5,14,0.562500,0.250007,15.000000,0.087891,0.554688
6,1,0.562500,0.000000,11.000000,0.105469,0.552734
6,2,0.609375,0.000000,20.000000,0.248047,0.556641
6,3,0.656250,0.000000,26.000000,0.267578,0.599609
6,4,0.515625,0.125003,39.000000,0.097656,0.505859
6,5,0.562500,0.125003,99.000000,0.105469,0.552734
6,6,0.609375,0.125003,126.000000,0.228516,0.564453
6,7,0.562500,0.250007,33.000000,0.087891,0.554688
6,8,0.609375,0.250007,43.000000,0.228516,0.564453
6,9,0.562500,-0.250007,25.000000,0.105469,0.552734
6,10,0.609375,-0.250007,28.000000,0.248047,0.556641
6,11,0.656250,-0.250007,37.000000,0.267578,0.599609
6,12,0.515625,-0.125003,31.000000,0.097656,0.505859
6,13,0.562500,-0.125003,81.000000,0.087891,0.554688
6,14,0.609375,-0.125003,91.000000,0.228516,0.564453
7,1,0.515625,0.125003,33.000000,-0.033203,0.515625
7,2,0.562500,0.125003,87.000000,0.123047,0.548828
7,3,0.609375,0.125003,117.000000,0.171875,0.583984
7,4,0.562500,0.250007,29.000000,0.123047,0.548828
7,5,0.609375,0.250007,39.000000,0.171875,0.583984
7,6,0.515625,-0.125003,30.000000,-0.033203,0.515625
7,7,0.562500,-0.125003,71.000000,0.123047,0.548828
7,8,0.609375,-0.125003,92.000000,0.171875,0.583984
7,9,0.515625,0.125003,32.000000,0.128906,0.500000
7,10,0.515625,-0.125003,26.000000,0.144531,0.494141
8,1,0.515625,0.125003,26.000000,-0.033203,0.515625
8,2,0.562500,0.125003,65.000000,0.140625,0.544922
8,3,0.609375,0.125003,87.000000,0.171875,0.583984
8,4,0.515625,-0.125003,22.000000,-0.033203,0.515625
8,5,0.562500,-0.125003,53.000000,0.140625,0.544922
8,6,0.609375,-0.125003,71.000000,0.171875,0.583984
8,7,0.515625,0.125003,26.000000,0.144531,0.494141
8,8,0.515625,-0.125003,22.000000,0.144531,0.494141
9,1,0.515625,0.125003,26.000000,-0.033203,0.515625
9,2,0.562500,0.125003,65.000000,0.140625,0.544922
9,3,0.609375,0.125003,87.000000,0.171875,0.583984
9,4,0.515625,-0.125003,22.000000,-0.033203,0.515625
9,5,0.562500,-0.125003,53.000000,0.140625,0.544922
9,6,0.609375,-0.125003,71.000000,0.171875,0.583984
9,7,0.515625,0.125003,26.000000,0.144531,0.494141
9,8,0.515625,-0.125003,22.000000,0.144531,0.494141
10,1,0.515625,0.125003,35.000000,-0.064453,0.511719
10,2,0.562500,0.125003,93.000000,-0.070312,0.558594
10,3,0.515625,-0.125003,34.000000,-0.064453,0.511719
10,4,0.562500,-0.125003,92.000000,-0.070312,0.558594
10,5,0.515625,0.125003,29.000000,0.113281,0.503906
10,6,0.562500,0.125003,82.000000,0.123047,0.548828
10,7,0.609375,0.125003,88.000000,0.152344,0.589844
10,8,0.515625,-0.125003,25.000000,0.128906,0.500000
