FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.140625,0.000000,15.000000,-0.048828,0.132812
1,2,0.187500,0.000000,20.000000,-0.064453,0.175781
1,3,0.187500,-0.250007,24.000000,-0.058594,0.177734
1,4,0.140625,-0.125003,58.000000,-0.048828,0.132812
1,5,0.187500,-0.125003,74.000000,-0.064453,0.175781
1,6,0.187500,-0.250007,18.000000,-0.128906,0.136719
2,1,0.187500,0.125003,32.000000,-0.052734,0.179688
2,2,0.140625,-0.125003,26.000000,-0.044922,0.132812
2,3,0.187500,-0.125003,39.000000,-0.052734,0.179688
2,4,0.234375,-0.125003,33.000000,-0.066406,0.224609
2,5,0.187500,-0.125003,30.000000,-0.117188,0.146484
3,1,0.140625,-0.125003,30.000000,-0.039062,0.134766
3,2,0.187500,-0.125003,40.000000,-0.052734,0.179688
3,3,0.140625,-0.125003,24.000000,-0.091797,0.105469
3,4,0.187500,-0.125003,39.000000,-0.117188,0.146484
4,1,0.140625,-0.125003,30.000000,-0.039062,0.134766
4,2,0.187500,-0.125003,40.000000,-0.052734,0.179688
4,3,0.140625,-0.125003,24.000000,-0.091797,0.105469
4,4,0.187500,-0.125003,39.000000,-0.117188,0.146484
5,1,0.187500,-0.125003,42.000000,-0.070312,0.173828
6,1,0.187500,-0.125003,42.000000,-0.070312,0.173828
7,1,0.140625,0.000000,14.000000,-0.048828,0.132812
7,2,0.187500,0.000000,22.000000,-0.070312,0.173828
7,3,0.234375,0.000000,13.000000,-0.095703,0.214844
7,4,0.140625,0.125003,40.000000,-0.048828,0.132812
7,5,0.187500,0.125003,59.000000,-0.070312,0.173828
7,6,0.234375,0.125003,29.000000,-0.095703,0.214844
7,7,0.140625,-0.250007,22.000000,-0.044922,0.132812
7,8,0.187500,-0.250007,32.000000,-0.064453,0.175781
7,9,0.140625,-0.125003,65.000000,-0.048828,0.132812
7,10,0.187500,-0.125003,97.000000,-0.070312,0.173828
7,11,0.234375,-0.125003,51.000000,-0.095703,0.214844
7,12,0.234375,0.125003,23.000000,-0.015625,0.234375
8,1,0.187500,0.125003,35.000000,-0.064453,0.175781
8,2,0.140625,-0.125003,28.000000,-0.048828,0.132812
8,3,0.187500,-0.125003,46.000000,-0.064453,0.175781
8,4,0.234375,-0.125003,31.000000,-0.066406,0.224609
9,1,0.187500,0.125003,27.000000,-0.058594,0.177734
9,2,0.140625,-0.125003,22.000000,-0.044922,0.132812
9,3,0.187500,-0.125003,34.000000,-0.064453,0.175781
10,1,0.187500,-0.125003,21.000000,-0.058594,0.177734
11,1,0.187500,-0.125003,21.000000,-0.058594,0.177734
12,1,0.140625,0.125003,26.000000,-0.039062,0.134766
12,2,0.187500,0.125003,38.000000,-0.052734,0.179688
13,1,0.140625,0.125003,26.000000,-0.039062,0.134766
13,2,0.187500,0.125003,38.000000,-0.052734,0.179688
14,1,0.140625,0.000000,73.000000,0.013672,0.140625
14,2,0.187500,0.000000,81.000000,0.023438,0.185547
14,3,0.234375,0.000000,97.000000,0.095703,0.214844
14,4,0.140625,0.125003,200.000000,0.013672,0.140625
14,5,0.187500,0.125003,251.000000,0.011719,0.187500
14,6,0.093750,0.250007,57.000000,0.009766,0.093750
14,7,0.140625,0.250007,216.000000,0.013672,0.140625
14,8,0.187500,0.250007,267.000000,0.017578,0.187500
14,9,0.234375,0.250007,121.000000,0.015625,0.234375
14,10,0.093750,0.375010,20.000000,0.005859,0.093750
14,11,0.140625,0.375010,76.000000,0.009766,0.140625
14,12,0.187500,0.375010,93.000000,0.011719,0.187500
14,13,0.234375,0.375010,40.000000,0.021484,0.232422
14,14,0.234375,-0.250007,69.000000,0.103516,0.210938
14,15,0.234375,-0.125003,193.000000,0.095703,0.214844
14,16,0.140625,0.000000,53.000000,-0.039062,0.134766
14,17,0.187500,0.000000,66.000000,-0.070312,0.173828
14,18,0.140625,0.125003,141.000000,-0.039062,0.134766
14,19,0.093750,0.250007,44.000000,-0.027344,0.089844
14,20,0.140625,0.250007,160.000000,-0.039062,0.134766
14,21,0.187500,0.250007,195.000000,-0.052734,0.179688
14,22,0.234375,0.250007,89.000000,-0.066406,0.224609
14,23,0.093750,0.375010,15.000000,-0.027344,0.089844
14,24,0.140625,0.375010,57.000000,-0.039062,0.134766
15,1,0.140625,0.000000,73.000000,0.013672,0.140625
15,2,0.187500,0.000000,81.000000,0.023438,0.185547
15,3,0.234375,0.000000,97.000000,0.095703,0.214844
15,4,0.140625,0.125003,200.000000,0.013672,0.140625
15,5,0.187500,0.125003,251.000000,0.011719,0.187500
15,6,0.093750,0.250007,57.000000,0.009766,0.093750
15,7,0.140625,0.250007,216.000000,0.013672,0.140625
15,8,0.187500,0.250007,267.000000,0.017578,0.187500
15,9,0.234375,0.250007,121.000000,0.015625,0.234375
15,10,0.093750,0.375010,20.000000,0.005859,0.093750
15,11,0.140625,0.375010,76.000000,0.009766,0.140625
15,12,0.187500,0.375010,93.000000,0.011719,0.187500
15,13,0.234375,0.375010,40.000000,0.021484,0.232422
15,14,0.234375,-0.250007,69.000000,0.103516,0.210938
15,15,0.234375,-0.125003,193.000000,0.095703,0.214844
15,16,0.140625,0.000000,53.000000,-0.039062,0.134766
15,17,0.187500,0.000000,66.000000,-0.070312,0.173828
15,18,0.140625,0.125003,141.000000,-0.039062,0.134766
15,19,0.093750,0.250007,44.000000,-0.027344,0.089844
15,20,0.140625,0.250007,160.000000,-0.039062,0.134766
