FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.562500,0.125003,25.000000,0.035156,0.560547
1,2,0.562500,-0.125003,21.000000,0.035156,0.560547
2,1,0.562500,0.125003,25.000000,0.052734,0.560547
2,2,0.562500,-0.125003,23.000000,0.035156,0.560547
3,1,0.562500,0.125003,26.000000,0.052734,0.560547
3,2,0.562500,-0.125003,24.000000,0.052734,0.560547
4,1,0.281250,0.000000,15.000000,0.017578,0.281250
4,2,0.328125,0.000000,16.000000,0.021484,0.328125
5,1,0.187500,0.000000,40.000000,-0.029297,0.185547
5,2,0.234375,0.000000,50.000000,-0.015625,0.234375
5,3,0.281250,0.000000,107.000000,0.017578,0.281250
5,4,0.328125,0.000000,109.000000,0.021484,0.328125
5,5,0.187500,-0.250007,44.000000,-0.023438,0.185547
5,6,0.234375,-0.250007,48.000000,-0.015625,0.234375
5,7,0.281250,-0.250007,94.000000,0.017578,0.281250
5,8,0.328125,-0.250007,96.000000,0.031250,0.326172
5,9,0.187500,-0.125003,125.000000,-0.029297,0.185547
5,10,0.234375,-0.125003,137.000000,-0.029297,0.232422
5,11,0.281250,-0.125003,233.000000,0.009766,0.281250
5,12,0.328125,-0.125003,236.000000,0.009766,0.328125
6,1,0.187500,0.000000,40.000000,-0.029297,0.185547
6,2,0.234375,0.000000,50.000000,-0.015625,0.234375
6,3,0.281250,0.000000,107.000000,0.017578,0.281250
6,4,0.328125,0.000000,109.000000,0.021484,0.328125
6,5,0.187500,-0.250007,44.000000,-0.023438,0.185547
6,6,0.234375,-0.250007,48.000000,-0.015625,0.234375
6,7,0.281250,-0.250007,94.000000,0.017578,0.281250
6,8,0.328125,-0.250007,96.000000,0.031250,0.326172
6,9,0.187500,-0.125003,125.000000,-0.029297,0.185547
6,10,0.234375,-0.125003,137.000000,-0.029297,0.232422
6,11,0.281250,-0.125003,233.000000,0.009766,0.281250
6,12,0.328125,-0.125003,236.000000,0.009766,0.328125
7,1,0.187500,0.000000,129.000000,-0.005859,0.187500
7,2,0.234375,0.000000,114.000000,-0.021484,0.232422
7,3,0.281250,0.000000,116.000000,0.027344,0.279297
7,4,0.328125,0.000000,128.000000,0.031250,0.326172
7,5,0.140625,0.125003,71.000000,-0.009766,0.140625
7,6,0.187500,0.125003,202.000000,-0.011719,0.187500
7,7,0.234375,0.125003,192.000000,-0.015625,0.234375
7,8,0.140625,0.250007,64.000000,-0.003906,0.140625
7,9,0.187500,0.250007,192.000000,-0.005859,0.187500
7,10,0.234375,0.250007,196.000000,-0.007812,0.234375
7,11,0.281250,0.250007,62.000000,-0.009766,0.281250
7,12,0.140625,0.375010,42.000000,-0.003906,0.140625
7,13,0.187500,0.375010,136.000000,-0.005859,0.187500
7,14,0.234375,0.375010,143.000000,-0.007812,0.234375
7,15,0.281250,0.375010,50.000000,-0.009766,0.281250
7,16,0.281250,-0.375010,19.000000,0.017578,0.281250
7,17,0.328125,-0.375010,19.000000,0.021484,0.328125
7,18,0.281250,-0.250007,156.000000,0.027344,0.279297
7,19,0.328125,-0.250007,142.000000,0.031250,0.326172
7,20,0.281250,-0.125003,254.000000,0.027344,0.279297
7,21,0.328125,-0.125003,228.000000,0.031250,0.326172
8,1,0.234375,0.000000,45.000000,-0.029297,0.232422
8,2,0.281250,0.000000,111.000000,0.035156,0.279297
8,3,0.328125,0.000000,116.000000,0.031250,0.326172
8,4,0.234375,0.125003,74.000000,0.007812,0.234375
8,5,0.187500,0.250007,177.000000,0.005859,0.187500
8,6,0.234375,0.250007,335.000000,0.007812,0.234375
8,7,0.281250,0.250007,229.000000,0.009766,0.281250
8,8,0.328125,0.250007,46.000000,0.009766,0.328125
8,9,0.140625,0.375010,40.000000,0.003906,0.140625
8,10,0.187500,0.375010,292.000000,0.005859,0.187500
8,11,0.234375,0.375010,542.000000,0.007812,0.234375
8,12,0.281250,0.375010,367.000000,0.009766,0.281250
8,13,0.328125,0.375010,72.000000,0.009766,0.328125
8,14,0.140625,0.500013,54.000000,0.013672,0.140625
8,15,0.187500,0.500013,377.000000,0.017578,0.187500
8,16,0.234375,0.500013,671.000000,0.021484,0.232422
8,17,0.281250,0.500013,429.000000,0.027344,0.279297
8,18,0.328125,0.500013,74.000000,0.021484,0.328125
8,19,0.140625,0.625017,55.000000,0.013672,0.140625
8,20,0.187500,0.625017,400.000000,0.017578,0.187500
8,21,0.234375,0.625017,732.000000,0.021484,0.232422
8,22,0.281250,0.625017,480.000000,0.027344,0.279297
8,23,0.328125,0.625017,85.000000,0.021484,0.328125
8,24,0.187500,0.750020,111.000000,0.017578,0.187500
8,25,0.234375,0.750020,192.000000,0.015625,0.234375
8,26,0.281250,0.750020,124.000000,0.009766,0.281250
8,27,0.140625,0.875023,37.000000,0.021484,0.138672
8,28,0.187500,0.875023,242.000000,0.029297,0.185547
8,29,0.234375,0.875023,428.000000,0.037109,0.232422
8,30,0.281250,0.875023,275.000000,0.044922,0.277344
8,31,0.328125,0.875023,47.000000,0.050781,0.324219
8,32,0.234375,-0.250007,58.000000,0.029297,0.232422
8,33,0.281250,-0.250007,140.000000,0.035156,0.279297
8,34,0.328125,-0.250007,115.000000,0.041016,0.326172
8,35,0.234375,-0.125003,103.000000,0.021484,0.232422
8,36,0.281250,-0.125003,276.000000,0.027344,0.279297
8,37,0.328125,-0.125003,238.000000,0.031250,0.326172
8,38,0.234375,0.000000,33.000000,0.050781,0.228516
8,39,0.140625,0.625017,41.000000,-0.039062,0.134766
8,40,0.187500,0.750020,86.000000,-0.058594,0.177734
8,41,0.234375,0.750020,144.000000,-0.074219,0.222656
8,42,0.281250,0.750020,88.000000,-0.087891,0.267578
8,43,0.328125,0.875023,33.000000,-0.072266,0.320312
9,1,0.187500,0.000000,57.000000,-0.005859,0.187500
9,2,0.234375,0.000000,175.000000,-0.007812,0.234375
9,3,0.281250,0.000000,190.000000,0.000000,0.281250
9,4,0.328125,0.000000,73.000000,0.000000,0.328125
9,5,0.187500,0.125003,185.000000,0.000000,0.187500
9,6,0.234375,0.125003,540.000000,0.000000,0.234375
9,7,0.281250,0.125003,522.000000,0.000000,0.281250
9,8,0.328125,0.125003,156.000000,0.000000,0.328125
9,9,0.187500,0.250007,413.000000,0.005859,0.187500
9,10,0.234375,0.250007,1148.000000,0.007812,0.234375
9,11,0.281250,0.250007,1104.000000,0.009766,0.281250
9,12,0.328125,0.250007,366.000000,0.009766,0.328125
9,13,0.187500,0.375010,413.000000,0.011719,0.187500
9,14,0.234375,0.375010,1092.000000,0.015625,0.234375
9,15,0.281250,0.375010,1018.000000,0.017578,0.281250
9,16,0.328125,0.375010,330.000000,0.021484,0.328125
9,17,0.187500,0.500013,217.000000,0.023438,0.185547
9,18,0.234375,0.500013,533.000000,0.029297,0.232422
9,19,0.281250,0.500013,466.000000,0.035156,0.279297
9,20,0.328125,0.500013,136.000000,0.041016,0.326172
9,21,0.187500,0.625017,126.000000,0.029297,0.185547
9,22,0.234375,0.625017,343.000000,0.037109,0.232422
9,23,0.281250,0.625017,337.000000,0.044922,0.277344
9,24,0.328125,0.625017,116.000000,0.050781,0.324219
9,25,0.421875,0.625017,64.000000,0.027344,0.421875
9,26,0.468750,0.625017,65.000000,0.029297,0.468750
9,27,0.234375,0.750020,105.000000,0.037109,0.232422
9,28,0.281250,0.750020,119.000000,0.044922,0.277344
9,29,0.328125,0.750020,49.000000,0.050781,0.324219
9,30,0.375000,0.750020,23.000000,0.023438,0.375000
9,31,0.421875,0.750020,56.000000,0.027344,0.421875
9,32,0.468750,0.750020,58.000000,0.029297,0.468750
9,33,0.421875,0.875023,34.000000,0.027344,0.421875
9,34,0.468750,0.875023,37.000000,0.029297,0.468750
9,35,0.234375,-0.125003,52.000000,-0.015625,0.234375
9,36,0.281250,-0.125003,74.000000,0.000000,0.281250
9,37,0.328125,-0.125003,57.000000,0.021484,0.328125
9,38,0.328125,0.500013,107.000000,-0.082031,0.318359
10,1,0.187500,0.000000,256.000000,0.011719,0.187500
10,2,0.234375,0.000000,927.000000,0.015625,0.234375
10,3,0.281250,0.000000,1134.000000,0.017578,0.281250
10,4,0.328125,0.000000,505.000000,0.021484,0.328125
10,5,0.375000,0.000000,47.000000,0.000000,0.375000
10,6,0.187500,0.125003,514.000000,0.011719,0.187500
10,7,0.234375,0.125003,1860.000000,0.015625,0.234375
10,8,0.281250,0.125003,2274.000000,0.017578,0.281250
10,9,0.328125,0.125003,1020.000000,0.009766,0.328125
10,10,0.187500,0.250007,377.000000,0.005859,0.187500
10,11,0.234375,0.250007,1349.000000,0.007812,0.234375
10,12,0.281250,0.250007,1623.000000,0.009766,0.281250
10,13,0.328125,0.250007,704.000000,0.009766,0.328125
10,14,0.375000,0.250007,63.000000,0.000000,0.375000
10,15,0.468750,0.250007,87.000000,0.000000,0.468750
10,16,0.234375,0.375010,242.000000,0.015625,0.234375
10,17,0.281250,0.375010,288.000000,0.017578,0.281250
10,18,0.328125,0.375010,120.000000,0.021484,0.328125
10,19,0.421875,0.375010,33.000000,0.000000,0.421875
10,20,0.468750,0.375010,54.000000,0.000000,0.468750
10,21,0.234375,-0.125003,170.000000,0.000000,0.234375
10,22,0.281250,-0.125003,179.000000,0.000000,0.281250
11,1,0.187500,0.000000,256.000000,0.011719,0.187500
11,2,0.234375,0.000000,927.000000,0.015625,0.234375
11,3,0.281250,0.000000,1134.000000,0.017578,0.281250
11,4,0.328125,0.000000,505.000000,0.021484,0.328125
11,5,0.375000,0.000000,47.000000,0.000000,0.375000
11,6,0.187500,0.125003,514.000000,0.011719,0.187500
11,7,0.234375,0.125003,1860.000000,0.015625,0.234375
11,8,0.281250,0.125003,2274.000000,0.017578,0.281250
11,9,0.328125,0.125003,1020.000000,0.009766,0.328125
11,10,0.187500,0.250007,377.000000,0.005859,0.187500
11,11,0.234375,0.250007,1349.000000,0.007812,0.234375
11,12,0.281250,0.250007,1623.000000,0.009766,0.281250
11,13,0.328125,0.250007,704.000000,0.009766,0.328125
11,14,0.375000,0.250007,63.000000,0.000000,0.375000
11,15,0.468750,0.250007,87.000000,0.000000,0.468750
11,16,0.234375,0.375010,242.000000,0.015625,0.234375
11,17,0.281250,0.375010,288.000000,0.017578,0.281250
11,18,0.328125,0.375010,120.000000,0.021484,0.328125
11,19,0.421875,0.375010,33.000000,0.000000,0.421875
11,20,0.468750,0.375010,54.000000,0.000000,0.468750
11,21,0.234375,-0.125003,170.000000,0.000000,0.234375
11,22,0.281250,-0.125003,179.000000,0.000000,0.281250
12,1,0.187500,0.000000,164.000000,-0.005859,0.187500
12,2,0.234375,0.000000,619.000000,0.000000,0.234375
12,3,0.281250,0.000000,765.000000,0.000000,0.281250
12,4,0.328125,0.000000,336.000000,0.000000,0.328125
12,5,0.187500,0.125003,358.000000,-0.005859,0.187500
12,6,0.234375,0.125003,1345.000000,-0.007812,0.234375
12,7,0.281250,0.125003,1661.000000,-0.009766,0.281250
12,8,0.328125,0.125003,730.000000,-0.009766,0.328125
12,9,0.187500,0.250007,151.000000,-0.005859,0.187500
12,10,0.234375,0.250007,568.000000,-0.007812,0.234375
12,11,0.281250,0.250007,702.000000,-0.009766,0.281250
12,12,0.328125,0.250007,308.000000,-0.009766,0.328125
12,13,0.187500,-0.125003,66.000000,-0.005859,0.187500
12,14,0.234375,-0.125003,249.000000,-0.007812,0.234375
12,15,0.281250,-0.125003,313.000000,-0.009766,0.281250
12,16,0.328125,-0.125003,142.000000,-0.009766,0.328125
13,1,0.187500,0.000000,58.000000,0.005859,0.187500
13,2,0.234375,0.000000,275.000000,0.007812,0.234375
13,3,0.281250,0.000000,409.000000,0.009766,0.281250
13,4,0.328125,0.000000,223.000000,0.009766,0.328125
13,5,0.187500,0.125003,112.000000,0.000000,0.187500
13,6,0.234375,0.125003,538.000000,0.000000,0.234375
13,7,0.281250,0.125003,809.000000,0.000000,0.281250
13,8,0.328125,0.125003,450.000000,0.000000,0.328125
13,9,0.187500,0.250007,62.000000,0.000000,0.187500
13,10,0.234375,0.250007,310.000000,0.000000,0.234375
13,11,0.281250,0.250007,468.000000,0.000000,0.281250
