FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.187500,0.125003,47.000000,-0.005859,0.187500
1,2,0.234375,0.125003,67.000000,-0.007812,0.234375
1,3,0.187500,-0.125003,41.000000,-0.005859,0.187500
1,4,0.234375,-0.125003,58.000000,-0.007812,0.234375
1,5,0.281250,-0.125003,29.000000,-0.009766,0.281250
1,6,0.187500,0.125003,34.000000,-0.070312,0.173828
1,7,0.187500,-0.125003,32.000000,-0.070312,0.173828
2,1,0.187500,0.125003,90.000000,-0.005859,0.187500
2,2,0.234375,0.125003,128.000000,-0.007812,0.234375
2,3,0.281250,0.125003,64.000000,-0.009766,0.281250
2,4,0.375000,0.125003,54.000000,-0.035156,0.373047
2,5,0.421875,0.125003,39.000000,-0.039062,0.419922
2,6,0.187500,0.250007,31.000000,-0.005859,0.187500
2,7,0.234375,0.250007,43.000000,-0.007812,0.234375
2,8,0.281250,0.250007,21.000000,-0.017578,0.281250
2,9,0.375000,0.250007,18.000000,-0.035156,0.373047
2,10,0.187500,-0.250007,24.000000,0.005859,0.187500
2,11,0.234375,-0.250007,36.000000,0.000000,0.234375
2,12,0.281250,-0.250007,17.000000,0.000000,0.281250
2,13,0.375000,-0.250007,14.000000,-0.023438,0.375000
2,14,0.187500,-0.125003,84.000000,-0.005859,0.187500
2,15,0.234375,-0.125003,119.000000,-0.007812,0.234375
2,16,0.281250,-0.125003,59.000000,-0.009766,0.281250
2,17,0.375000,-0.125003,45.000000,-0.035156,0.373047
2,18,0.421875,-0.125003,33.000000,-0.039062,0.419922
2,19,0.187500,-0.250007,21.000000,-0.070312,0.173828
2,20,0.234375,-0.250007,28.000000,-0.087891,0.216797
2,21,0.281250,-0.250007,13.000000,-0.105469,0.261719
3,1,0.187500,0.000000,20.000000,-0.005859,0.187500
3,2,0.234375,0.000000,28.000000,-0.007812,0.234375
3,3,0.281250,0.000000,13.000000,-0.009766,0.281250
3,4,0.375000,0.000000,12.000000,-0.035156,0.373047
3,5,0.187500,0.125003,48.000000,0.000000,0.187500
3,6,0.234375,0.125003,69.000000,0.000000,0.234375
3,7,0.281250,0.125003,35.000000,-0.009766,0.281250
3,8,0.187500,-0.250007,19.000000,0.005859,0.187500
3,9,0.234375,-0.250007,27.000000,0.000000,0.234375
3,10,0.187500,-0.125003,58.000000,0.000000,0.187500
3,11,0.234375,-0.125003,80.000000,-0.007812,0.234375
3,12,0.281250,-0.125003,39.000000,-0.009766,0.281250
3,13,0.187500,0.000000,17.000000,-0.070312,0.173828
3,14,0.234375,0.000000,22.000000,-0.095703,0.214844
3,15,0.281250,0.000000,10.000000,-0.115234,0.257812
4,1,0.187500,0.000000,20.000000,-0.005859,0.187500
4,2,0.234375,0.000000,28.000000,-0.007812,0.234375
