FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.140625,0.000000,663.000000,-0.009766,0.140625
1,2,0.187500,0.000000,1867.000000,-0.011719,0.187500
1,3,0.234375,0.000000,1903.000000,-0.015625,0.234375
1,4,0.281250,0.000000,690.000000,-0.027344,0.279297
1,5,0.140625,0.125003,134.000000,-0.009766,0.140625
1,6,0.187500,0.125003,361.000000,-0.011719,0.187500
1,7,0.234375,0.125003,351.000000,-0.021484,0.232422
1,8,0.281250,0.125003,121.000000,-0.027344,0.279297
1,9,0.140625,0.250007,20.000000,-0.013672,0.140625
1,10,0.187500,0.250007,54.000000,-0.017578,0.187500
1,11,0.234375,0.250007,50.000000,-0.021484,0.232422
1,12,0.187500,-0.500013,95.000000,-0.005859,0.187500
1,13,0.234375,-0.500013,98.000000,-0.007812,0.234375
1,14,0.281250,-0.500013,63.000000,0.000000,0.281250
1,15,0.328125,-0.500013,89.000000,0.009766,0.328125
1,16,0.375000,-0.500013,88.000000,0.011719,0.375000
1,17,0.140625,-0.375010,442.000000,-0.003906,0.140625
1,18,0.187500,-0.375010,1125.000000,-0.011719,0.187500
1,19,0.234375,-0.375010,1035.000000,-0.015625,0.234375
1,20,0.281250,-0.375010,271.000000,-0.017578,0.281250
1,21,0.328125,-0.375010,155.000000,-0.009766,0.328125
1,22,0.375000,-0.375010,166.000000,-0.011719,0.375000
1,23,0.140625,-0.250007,1498.000000,-0.003906,0.140625
1,24,0.187500,-0.250007,4009.000000,-0.005859,0.187500
1,25,0.234375,-0.250007,3885.000000,-0.007812,0.234375
1,26,0.281250,-0.250007,1295.000000,-0.017578,0.281250
1,27,0.093750,-0.125003,130.000000,-0.003906,0.093750
1,28,0.140625,-0.125003,1644.000000,-0.009766,0.140625
1,29,0.187500,-0.125003,4438.000000,-0.011719,0.187500
1,30,0.234375,-0.125003,4362.000000,-0.021484,0.232422
1,31,0.281250,-0.125003,1517.000000,-0.027344,0.279297
1,32,0.234375,0.000000,1345.000000,0.066406,0.224609
1,33,0.281250,0.000000,617.000000,0.080078,0.269531
1,34,0.140625,-0.375010,334.000000,-0.056641,0.128906
1,35,0.140625,-0.250007,1080.000000,-0.056641,0.128906
1,36,0.093750,-0.125003,96.000000,-0.039062,0.085938
1,37,0.281250,-0.125003,1191.000000,0.070312,0.271484
2,1,0.093750,0.000000,68.000000,-0.041016,0.083984
2,2,0.140625,0.000000,513.000000,-0.017578,0.138672
2,3,0.187500,0.000000,1100.000000,-0.023438,0.185547
