FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.234375,0.000000,89.000000,-0.015625,0.234375
1,2,0.281250,0.000000,212.000000,-0.017578,0.281250
1,3,0.328125,0.000000,184.000000,-0.021484,0.328125
1,4,0.234375,0.125003,276.000000,-0.015625,0.234375
1,5,0.281250,0.125003,646.000000,-0.017578,0.281250
1,6,0.328125,0.125003,549.000000,-0.021484,0.328125
1,7,0.609375,0.125003,151.000000,0.115234,0.599609
1,8,0.234375,0.250007,102.000000,-0.015625,0.234375
1,9,0.281250,0.250007,239.000000,-0.027344,0.279297
1,10,0.328125,0.250007,204.000000,-0.031250,0.326172
1,11,0.281250,-0.250007,84.000000,-0.009766,0.281250
1,12,0.328125,-0.250007,70.000000,-0.009766,0.328125
1,13,0.609375,-0.250007,40.000000,0.132812,0.593750
1,14,0.281250,-0.125003,281.000000,-0.017578,0.281250
1,15,0.328125,-0.125003,234.000000,-0.021484,0.328125
1,16,0.562500,-0.125003,84.000000,0.105469,0.552734
1,17,0.609375,-0.125003,131.000000,0.115234,0.599609
2,1,0.234375,0.000000,142.000000,-0.015625,0.234375
2,2,0.281250,0.000000,341.000000,-0.017578,0.281250
2,3,0.328125,0.000000,293.000000,-0.031250,0.326172
2,4,0.375000,0.000000,81.000000,-0.035156,0.373047
2,5,0.234375,0.125003,378.000000,-0.021484,0.232422
2,6,0.281250,0.125003,908.000000,-0.027344,0.279297
2,7,0.328125,0.125003,777.000000,-0.031250,0.326172
2,8,0.234375,0.250007,142.000000,-0.021484,0.232422
2,9,0.281250,0.250007,345.000000,-0.027344,0.279297
2,10,0.328125,0.250007,295.000000,-0.031250,0.326172
2,11,0.281250,-0.250007,96.000000,-0.017578,0.281250
2,12,0.328125,-0.250007,81.000000,-0.021484,0.328125
2,13,0.281250,-0.125003,318.000000,-0.027344,0.279297
2,14,0.328125,-0.125003,269.000000,-0.031250,0.326172
2,15,0.609375,-0.125003,124.000000,0.115234,0.599609
3,1,0.234375,0.000000,142.000000,-0.015625,0.234375
3,2,0.281250,0.000000,341.000000,-0.017578,0.281250
3,3,0.328125,0.000000,293.000000,-0.031250,0.326172
3,4,0.375000,0.000000,81.000000,-0.035156,0.373047
3,5,0.234375,0.125003,378.000000,-0.021484,0.232422
3,6,0.281250,0.125003,908.000000,-0.027344,0.279297
3,7,0.328125,0.125003,777.000000,-0.031250,0.326172
3,8,0.234375,0.250007,142.000000,-0.021484,0.232422
3,9,0.281250,0.250007,345.000000,-0.027344,0.279297
3,10,0.328125,0.250007,295.000000,-0.031250,0.326172
3,11,0.281250,-0.250007,96.000000,-0.017578,0.281250
3,12,0.328125,-0.250007,81.000000,-0.021484,0.328125
3,13,0.281250,-0.125003,318.000000,-0.027344,0.279297
3,14,0.328125,-0.125003,269.000000,-0.031250,0.326172
3,15,0.609375,-0.125003,124.000000,0.115234,0.599609
4,1,0.234375,0.000000,185.000000,-0.029297,0.232422
4,2,0.281250,0.000000,423.000000,-0.027344,0.279297
4,3,0.328125,0.000000,351.000000,-0.031250,0.326172
4,4,0.375000,0.000000,93.000000,-0.046875,0.373047
4,5,0.234375,0.125003,477.000000,-0.029297,0.232422
4,6,0.281250,0.125003,1089.000000,-0.035156,0.279297
4,7,0.328125,0.125003,905.000000,-0.041016,0.326172
4,8,0.234375,0.250007,183.000000,-0.029297,0.232422
4,9,0.281250,0.250007,422.000000,-0.035156,0.279297
4,10,0.328125,0.250007,350.000000,-0.041016,0.326172
4,11,0.234375,-0.250007,47.000000,-0.015625,0.234375
4,12,0.281250,-0.250007,109.000000,-0.017578,0.281250
4,13,0.328125,-0.250007,91.000000,-0.021484,0.328125
