FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.656250,0.125003,55.000000,0.267578,0.599609
1,2,0.656250,-0.125003,52.000000,0.267578,0.599609
2,1,0.656250,0.125003,55.000000,0.267578,0.599609
2,2,0.656250,-0.125003,52.000000,0.267578,0.599609
3,1,0.609375,0.125003,22.000000,0.228516,0.564453
3,2,0.609375,0.250007,7.000000,0.228516,0.564453
3,3,0.656250,-0.250007,36.000000,0.267578,0.599609
4,1,0.375000,-0.375010,62.000000,-0.058594,0.371094
4,2,0.421875,-0.375010,61.000000,-0.052734,0.417969
4,3,0.421875,-0.250007,207.000000,0.013672,0.421875
4,4,0.468750,-0.250007,167.000000,0.029297,0.468750
5,1,0.375000,-0.375010,189.000000,-0.011719,0.375000
5,2,0.421875,-0.375010,317.000000,-0.013672,0.421875
5,3,0.468750,-0.375010,207.000000,0.000000,0.468750
5,4,0.375000,-0.250007,306.000000,0.000000,0.375000
5,5,0.421875,-0.250007,554.000000,0.000000,0.421875
5,6,0.468750,-0.250007,374.000000,0.000000,0.468750
5,7,0.421875,-0.125003,349.000000,-0.013672,0.421875
5,8,0.656250,-0.125003,124.000000,0.267578,0.599609
6,1,0.375000,-0.500013,129.000000,-0.046875,0.373047
6,2,0.421875,-0.500013,114.000000,-0.052734,0.417969
6,3,0.609375,-0.500013,33.000000,-0.132812,0.593750
6,4,0.375000,-0.375010,190.000000,-0.070312,0.369141
6,5,0.609375,-0.125003,50.000000,0.267578,0.548828
7,1,0.375000,-0.500013,129.000000,-0.046875,0.373047
7,2,0.421875,-0.500013,114.000000,-0.052734,0.417969
7,3,0.609375,-0.500013,33.000000,-0.132812,0.593750
7,4,0.375000,-0.375010,190.000000,-0.070312,0.369141
7,5,0.609375,-0.125003,50.000000,0.267578,0.548828
8,1,0.609375,0.125003,67.000000,0.248047,0.556641
8,2,0.328125,-0.500013,193.000000,-0.050781,0.324219
8,3,0.375000,-0.500013,257.000000,-0.046875,0.373047
8,4,0.421875,-0.500013,164.000000,-0.027344,0.421875
8,5,0.328125,-0.375010,236.000000,-0.062500,0.322266
8,6,0.375000,-0.375010,389.000000,-0.058594,0.371094
8,7,0.421875,-0.375010,291.000000,-0.039062,0.419922
8,8,0.609375,-0.125003,67.000000,0.191406,0.578125
8,9,0.609375,0.250007,21.000000,0.248047,0.556641
9,1,0.609375,0.125003,55.000000,0.267578,0.548828
9,2,0.656250,0.125003,162.000000,0.287109,0.589844
9,3,0.281250,-0.500013,165.000000,-0.052734,0.275391
9,4,0.328125,-0.500013,229.000000,-0.072266,0.320312
9,5,0.375000,-0.500013,344.000000,0.058594,0.371094
9,6,0.421875,-0.500013,222.000000,0.066406,0.416016
9,7,0.281250,-0.375010,213.000000,-0.027344,0.279297
9,8,0.328125,-0.375010,476.000000,0.031250,0.326172
9,9,0.375000,-0.375010,791.000000,0.035156,0.373047
9,10,0.421875,-0.375010,529.000000,0.039062,0.419922
9,11,0.468750,-0.375010,115.000000,0.029297,0.468750
9,12,0.328125,-0.250007,374.000000,0.021484,0.328125
9,13,0.375000,-0.250007,680.000000,0.035156,0.373047
9,14,0.421875,-0.250007,520.000000,0.039062,0.419922
9,15,0.609375,-0.125003,85.000000,0.208984,0.572266
9,16,0.328125,-0.500013,206.000000,0.041016,0.326172
10,1,0.281250,0.250007,244.000000,-0.044922,0.277344
10,2,0.281250,0.375010,80.000000,-0.044922,0.277344
10,3,0.656250,-0.250007,130.000000,0.287109,0.589844
10,4,0.609375,-0.125003,124.000000,0.248047,0.556641
10,5,0.656250,-0.125003,343.000000,0.267578,0.599609
10,6,0.609375,0.000000,49.000000,-0.171875,0.583984
11,1,0.609375,0.125003,80.000000,0.228516,0.564453
11,2,0.375000,0.375010,310.000000,0.035156,0.373047
11,3,0.421875,0.375010,295.000000,0.027344,0.421875
11,4,0.468750,0.375010,127.000000,0.029297,0.468750
11,5,0.328125,0.500013,89.000000,0.009766,0.328125
11,6,0.375000,0.500013,183.000000,0.011719,0.375000
11,7,0.421875,0.500013,194.000000,0.027344,0.421875
11,8,0.468750,0.500013,89.000000,0.029297,0.468750
11,9,0.609375,-0.250007,32.000000,0.267578,0.548828
12,1,0.609375,0.125003,80.000000,0.228516,0.564453
12,2,0.375000,0.375010,310.000000,0.035156,0.373047
12,3,0.421875,0.375010,295.000000,0.027344,0.421875
12,4,0.468750,0.375010,127.000000,0.029297,0.468750
12,5,0.328125,0.500013,89.000000,0.009766,0.328125
12,6,0.375000,0.500013,183.000000,0.011719,0.375000
12,7,0.421875,0.500013,194.000000,0.027344,0.421875
12,8,0.468750,0.500013,89.000000,0.029297,0.468750
12,9,0.609375,-0.250007,32.000000,0.267578,0.548828
12,10,0.609375,-0.125003,93.000000,0.248047,0.556641
12,11,0.656250,-0.125003,201.000000,0.287109,0.589844
13,1,0.375000,0.500013,41.000000,0.070312,0.369141
13,2,0.421875,0.500013,40.000000,0.066406,0.416016
13,3,0.375000,0.625017,38.000000,0.058594,0.371094
13,4,0.421875,0.625017,40.000000,0.052734,0.417969
13,5,0.468750,0.625017,20.000000,0.044922,0.466797
13,6,0.281250,0.875023,23.000000,-0.027344,0.279297
13,7,0.328125,0.875023,39.000000,-0.031250,0.326172
