FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.234375,0.125003,39.000000,0.021484,0.232422
1,2,0.281250,0.125003,35.000000,0.017578,0.281250
1,3,0.234375,-0.125003,31.000000,0.021484,0.232422
1,4,0.281250,-0.125003,27.000000,0.017578,0.281250
2,1,0.234375,0.125003,27.000000,0.021484,0.232422
2,2,0.281250,0.125003,24.000000,0.027344,0.279297
2,3,0.234375,-0.125003,23.000000,0.029297,0.232422
3,1,0.234375,0.125003,21.000000,0.037109,0.232422
3,2,0.234375,-0.125003,23.000000,0.037109,0.232422
4,1,0.234375,0.000000,14.000000,0.007812,0.234375
4,2,0.281250,0.000000,15.000000,0.009766,0.281250
4,3,0.234375,0.125003,66.000000,0.007812,0.234375
4,4,0.281250,0.125003,69.000000,0.009766,0.281250
4,5,0.234375,0.250007,23.000000,0.007812,0.234375
4,6,0.281250,0.250007,23.000000,0.000000,0.281250
4,7,0.234375,-0.125003,49.000000,0.015625,0.234375
4,8,0.281250,-0.125003,47.000000,0.017578,0.281250
4,9,0.234375,0.000000,11.000000,-0.080078,0.220703
5,1,0.234375,0.000000,14.000000,0.007812,0.234375
5,2,0.281250,0.000000,15.000000,0.009766,0.281250
5,3,0.234375,0.125003,66.000000,0.007812,0.234375
5,4,0.281250,0.125003,69.000000,0.009766,0.281250
5,5,0.234375,0.250007,23.000000,0.007812,0.234375
5,6,0.281250,0.250007,23.000000,0.000000,0.281250
5,7,0.234375,-0.125003,49.000000,0.015625,0.234375
5,8,0.281250,-0.125003,47.000000,0.017578,0.281250
5,9,0.234375,0.000000,11.000000,-0.080078,0.220703
6,1,0.234375,0.000000,25.000000,0.015625,0.234375
6,2,0.281250,0.000000,27.000000,0.009766,0.281250
6,3,0.234375,0.125003,74.000000,0.007812,0.234375
6,4,0.281250,0.125003,86.000000,0.009766,0.281250
6,5,0.234375,0.250007,27.000000,0.007812,0.234375
6,6,0.281250,0.250007,32.000000,0.009766,0.281250
7,1,0.187500,0.000000,15.000000,0.035156,0.183594
7,2,0.234375,0.000000,54.000000,0.044922,0.230469
7,3,0.281250,0.000000,74.000000,0.052734,0.275391
7,4,0.328125,0.000000,42.000000,0.062500,0.322266
7,5,0.234375,0.125003,66.000000,0.007812,0.234375
7,6,0.281250,0.125003,64.000000,0.009766,0.281250
7,7,0.234375,0.250007,27.000000,0.007812,0.234375
7,8,0.281250,0.250007,25.000000,0.000000,0.281250
7,9,0.234375,-0.250007,33.000000,0.050781,0.228516
7,10,0.281250,-0.250007,49.000000,0.062500,0.275391
7,11,0.328125,-0.250007,34.000000,0.072266,0.320312
7,12,0.234375,-0.125003,85.000000,0.037109,0.232422
7,13,0.281250,-0.125003,127.000000,0.052734,0.275391
7,14,0.328125,-0.125003,90.000000,0.062500,0.322266
8,1,0.187500,0.000000,35.000000,0.035156,0.183594
8,2,0.234375,0.000000,102.000000,0.044922,0.230469
8,3,0.281250,0.000000,104.000000,0.052734,0.275391
8,4,0.234375,0.125003,146.000000,0.044922,0.230469
8,5,0.187500,0.250007,50.000000,0.029297,0.185547
8,6,0.234375,0.250007,131.000000,0.029297,0.232422
8,7,0.281250,0.250007,127.000000,0.035156,0.279297
8,8,0.187500,0.375010,19.000000,0.017578,0.187500
8,9,0.234375,0.375010,62.000000,0.021484,0.232422
8,10,0.281250,0.375010,68.000000,0.027344,0.279297
8,11,0.328125,0.375010,24.000000,0.021484,0.328125
8,12,0.234375,-0.125003,66.000000,0.037109,0.232422
8,13,0.281250,-0.125003,103.000000,0.044922,0.277344
9,1,0.234375,0.000000,104.000000,0.044922,0.230469
10,1,0.234375,-0.375010,49.000000,0.050781,0.228516
10,2,0.281250,-0.375010,48.000000,0.062500,0.275391
11,1,0.234375,-0.375010,49.000000,0.050781,0.228516
11,2,0.281250,-0.375010,48.000000,0.062500,0.275391
12,1,0.234375,-0.375010,49.000000,0.050781,0.228516
12,2,0.281250,-0.375010,48.000000,0.062500,0.275391
13,1,0.375000,0.000000,341.000000,0.058594,0.371094
13,2,0.234375,-0.375010,73.000000,0.037109,0.232422
13,3,0.281250,-0.375010,63.000000,0.044922,0.277344
13,4,0.375000,-0.375010,31.000000,0.070312,0.369141
13,5,0.234375,-0.250007,222.000000,0.037109,0.232422
13,6,0.281250,-0.250007,241.000000,0.044922,0.277344
13,7,0.328125,-0.250007,279.000000,0.062500,0.322266
13,8,0.375000,-0.250007,362.000000,0.070312,0.369141
13,9,0.421875,-0.250007,225.000000,0.080078,0.414062
13,10,0.328125,-0.125003,474.000000,0.041016,0.326172
13,11,0.375000,-0.125003,650.000000,0.058594,0.371094
13,12,0.421875,-0.125003,403.000000,0.066406,0.416016
14,1,0.187500,0.000000,190.000000,0.035156,0.183594
14,2,0.234375,0.000000,377.000000,0.044922,0.230469
14,3,0.281250,0.000000,274.000000,0.052734,0.275391
14,4,0.187500,-0.375010,26.000000,0.041016,0.183594
14,5,0.234375,-0.375010,48.000000,0.050781,0.228516
14,6,0.281250,-0.375010,30.000000,0.062500,0.275391
14,7,0.187500,-0.250007,219.000000,0.041016,0.183594
14,8,0.234375,-0.250007,428.000000,0.050781,0.228516
14,9,0.281250,-0.250007,302.000000,0.062500,0.275391
14,10,0.328125,-0.250007,94.000000,0.072266,0.320312
14,11,0.187500,-0.125003,365.000000,0.035156,0.183594
14,12,0.234375,-0.125003,725.000000,0.044922,0.230469
14,13,0.281250,-0.125003,524.000000,0.052734,0.275391
14,14,0.328125,-0.250007,69.000000,-0.050781,0.324219
15,1,0.187500,0.000000,46.000000,0.017578,0.187500
