FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.328125,0.000000,17.000000,-0.031250,0.326172
1,2,0.375000,0.000000,22.000000,-0.046875,0.373047
1,3,0.421875,0.000000,12.000000,-0.052734,0.417969
1,4,0.328125,0.125003,66.000000,-0.031250,0.326172
1,5,0.375000,0.125003,85.000000,-0.046875,0.373047
1,6,0.375000,0.250007,29.000000,-0.058594,0.371094
2,1,0.328125,0.000000,17.000000,-0.031250,0.326172
2,2,0.375000,0.000000,22.000000,-0.046875,0.373047
2,3,0.421875,0.000000,12.000000,-0.052734,0.417969
2,4,0.328125,0.125003,66.000000,-0.031250,0.326172
2,5,0.375000,0.125003,85.000000,-0.046875,0.373047
2,6,0.375000,0.250007,29.000000,-0.058594,0.371094
3,1,0.328125,0.000000,17.000000,-0.031250,0.326172
3,2,0.375000,0.000000,22.000000,-0.046875,0.373047
3,3,0.421875,0.000000,12.000000,-0.052734,0.417969
3,4,0.328125,0.125003,66.000000,-0.031250,0.326172
3,5,0.375000,0.125003,85.000000,-0.046875,0.373047
3,6,0.375000,0.250007,29.000000,-0.058594,0.371094
4,1,0.328125,0.000000,17.000000,-0.031250,0.326172
4,2,0.375000,0.000000,22.000000,-0.046875,0.373047
4,3,0.421875,0.000000,12.000000,-0.052734,0.417969
4,4,0.328125,0.125003,66.000000,-0.031250,0.326172
4,5,0.375000,0.125003,85.000000,-0.046875,0.373047
4,6,0.375000,0.250007,29.000000,-0.058594,0.371094
5,1,0.375000,0.125003,32.000000,-0.046875,0.373047
6,1,0.375000,0.125003,32.000000,-0.046875,0.373047
7,1,0.375000,0.125003,32.000000,-0.046875,0.373047
8,1,0.375000,0.125003,32.000000,-0.046875,0.373047
9,1,0.375000,0.125003,32.000000,-0.046875,0.373047
10,1,0.375000,0.125003,32.000000,-0.046875,0.373047
11,1,0.375000,0.125003,32.000000,-0.046875,0.373047
12,1,0.375000,0.125003,32.000000,-0.046875,0.373047
13,1,0.375000,0.125003,32.000000,-0.046875,0.373047
14,1,0.328125,0.000000,91.000000,0.021484,0.328125
14,2,0.375000,0.000000,186.000000,0.023438,0.375000
14,3,0.421875,0.000000,132.000000,0.027344,0.421875
14,4,0.328125,-0.250007,91.000000,0.031250,0.326172
14,5,0.375000,-0.250007,167.000000,0.035156,0.373047
14,6,0.421875,-0.250007,115.000000,0.039062,0.419922
14,7,0.328125,-0.125003,223.000000,0.009766,0.328125
14,8,0.375000,-0.125003,403.000000,0.023438,0.375000
14,9,0.421875,-0.125003,279.000000,0.027344,0.421875
15,1,0.281250,0.000000,63.000000,-0.009766,0.281250
15,2,0.328125,0.000000,59.000000,0.062500,0.322266
15,3,0.375000,0.000000,131.000000,0.058594,0.371094
15,4,0.421875,0.000000,90.000000,0.066406,0.416016
15,5,0.281250,-0.250007,52.000000,0.000000,0.281250
15,6,0.328125,-0.250007,52.000000,0.072266,0.320312
15,7,0.375000,-0.250007,114.000000,0.070312,0.369141
15,8,0.421875,-0.250007,78.000000,0.066406,0.416016
15,9,0.281250,-0.125003,150.000000,-0.009766,0.281250
15,10,0.328125,-0.125003,126.000000,0.062500,0.322266
15,11,0.375000,-0.125003,280.000000,0.058594,0.371094
15,12,0.421875,-0.125003,195.000000,0.052734,0.417969
15,13,0.328125,0.000000,59.000000,-0.041016,0.326172
15,14,0.328125,-0.250007,52.000000,-0.041016,0.326172
15,15,0.328125,-0.125003,123.000000,-0.041016,0.326172
16,1,0.281250,0.000000,63.000000,-0.009766,0.281250
16,2,0.328125,0.000000,59.000000,0.062500,0.322266
16,3,0.375000,0.000000,131.000000,0.058594,0.371094
16,4,0.421875,0.000000,90.000000,0.066406,0.416016
16,5,0.281250,-0.250007,52.000000,0.000000,0.281250
16,6,0.328125,-0.250007,52.000000,0.072266,0.320312
16,7,0.375000,-0.250007,114.000000,0.070312,0.369141
16,8,0.421875,-0.250007,78.000000,0.066406,0.416016
16,9,0.281250,-0.125003,150.000000,-0.009766,0.281250
16,10,0.328125,-0.125003,126.000000,0.062500,0.322266
16,11,0.375000,-0.125003,280.000000,0.058594,0.371094
16,12,0.421875,-0.125003,195.000000,0.052734,0.417969
16,13,0.328125,0.000000,59.000000,-0.041016,0.326172
16,14,0.328125,-0.250007,52.000000,-0.041016,0.326172
16,15,0.328125,-0.125003,123.000000,-0.041016,0.326172
17,1,0.609375,0.000000,32.000000,0.132812,0.593750
17,2,0.609375,-0.250007,36.000000,0.115234,0.599609
18,1,0.328125,0.125003,90.000000,0.082031,0.318359
18,2,0.375000,0.125003,164.000000,0.093750,0.363281
18,3,0.421875,0.125003,106.000000,0.091797,0.412109
18,4,0.328125,0.250007,36.000000,0.082031,0.318359
18,5,0.375000,0.250007,65.000000,0.082031,0.365234
18,6,0.421875,0.250007,42.000000,0.091797,0.412109
18,7,0.609375,-0.250007,22.000000,0.152344,0.589844
18,8,0.609375,-0.125003,53.000000,0.132812,0.593750
18,9,0.609375,-0.250007,19.000000,-0.115234,0.599609
19,1,0.328125,0.125003,90.000000,0.082031,0.318359
19,2,0.375000,0.125003,164.000000,0.093750,0.363281
19,3,0.421875,0.125003,106.000000,0.091797,0.412109
19,4,0.328125,0.250007,36.000000,0.082031,0.318359
19,5,0.375000,0.250007,65.000000,0.082031,0.365234
19,6,0.421875,0.250007,42.000000,0.091797,0.412109
19,7,0.609375,-0.250007,22.000000,0.152344,0.589844
19,8,0.609375,-0.125003,53.000000,0.132812,0.593750
19,9,0.609375,-0.250007,19.000000,-0.115234,0.599609
20,1,0.328125,0.125003,90.000000,0.082031,0.318359
20,2,0.375000,0.125003,164.000000,0.093750,0.363281
20,3,0.421875,0.125003,106.000000,0.091797,0.412109
20,4,0.328125,0.250007,36.000000,0.082031,0.318359
20,5,0.375000,0.250007,65.000000,0.082031,0.365234
20,6,0.421875,0.250007,42.000000,0.091797,0.412109
20,7,0.609375,-0.250007,22.000000,0.152344,0.589844
20,8,0.609375,-0.125003,53.000000,0.132812,0.593750
20,9,0.609375,-0.250007,19.000000,-0.115234,0.599609
21,1,0.328125,0.125003,90.000000,0.082031,0.318359
21,2,0.375000,0.125003,164.000000,0.093750,0.363281
21,3,0.421875,0.125003,106.000000,0.091797,0.412109
21,4,0.328125,0.250007,36.000000,0.082031,0.318359
21,5,0.375000,0.250007,65.000000,0.082031,0.365234
21,6,0.421875,0.250007,42.000000,0.091797,0.412109
21,7,0.609375,-0.250007,22.000000,0.152344,0.589844
21,8,0.609375,-0.125003,53.000000,0.132812,0.593750
21,9,0.609375,-0.250007,19.000000,-0.115234,0.599609
