FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.234375,0.000000,21.000000,-0.125000,0.199219
1,2,0.281250,0.000000,41.000000,-0.150391,0.238281
1,3,0.328125,0.000000,27.000000,-0.173828,0.277344
1,4,0.375000,0.000000,19.000000,-0.093750,0.363281
1,5,0.281250,0.125003,60.000000,-0.158203,0.232422
1,6,0.281250,-0.250007,43.000000,-0.140625,0.244141
1,7,0.234375,-0.125003,73.000000,-0.132812,0.193359
1,8,0.281250,-0.125003,130.000000,-0.150391,0.238281
1,9,0.375000,-0.125003,81.000000,-0.093750,0.363281
2,1,0.234375,0.000000,17.000000,-0.132812,0.193359
2,2,0.281250,0.000000,32.000000,-0.158203,0.232422
2,3,0.328125,0.000000,23.000000,-0.185547,0.271484
2,4,0.281250,-0.250007,42.000000,-0.150391,0.238281
2,5,0.234375,-0.125003,60.000000,-0.132812,0.193359
2,6,0.281250,-0.125003,122.000000,-0.158203,0.232422
2,7,0.328125,-0.125003,95.000000,-0.185547,0.271484
3,1,0.234375,0.000000,17.000000,-0.132812,0.193359
3,2,0.281250,0.000000,32.000000,-0.158203,0.232422
3,3,0.328125,0.000000,23.000000,-0.185547,0.271484
3,4,0.281250,-0.250007,42.000000,-0.150391,0.238281
3,5,0.234375,-0.125003,60.000000,-0.132812,0.193359
3,6,0.281250,-0.125003,122.000000,-0.158203,0.232422
3,7,0.328125,-0.125003,95.000000,-0.185547,0.271484
4,1,0.234375,0.000000,17.000000,-0.132812,0.193359
4,2,0.281250,0.000000,32.000000,-0.158203,0.232422
4,3,0.328125,0.000000,23.000000,-0.185547,0.271484
4,4,0.281250,-0.250007,42.000000,-0.150391,0.238281
4,5,0.234375,-0.125003,60.000000,-0.132812,0.193359
4,6,0.281250,-0.125003,122.000000,-0.158203,0.232422
4,7,0.328125,-0.125003,95.000000,-0.185547,0.271484
5,1,0.234375,0.000000,63.000000,-0.125000,0.199219
5,2,0.281250,0.000000,111.000000,-0.150391,0.238281
5,3,0.328125,0.000000,68.000000,-0.173828,0.277344
5,4,0.328125,0.125003,74.000000,-0.062500,0.322266
5,5,0.234375,-0.250007,51.000000,-0.125000,0.199219
5,6,0.281250,-0.250007,88.000000,-0.150391,0.238281
5,7,0.328125,-0.250007,54.000000,-0.173828,0.277344
5,8,0.234375,-0.125003,132.000000,-0.132812,0.193359
5,9,0.281250,-0.125003,225.000000,-0.158203,0.232422
5,10,0.328125,-0.125003,138.000000,-0.185547,0.271484
6,1,0.234375,0.000000,84.000000,-0.109375,0.207031
6,2,0.281250,0.000000,170.000000,-0.140625,0.244141
6,3,0.328125,0.000000,139.000000,-0.173828,0.277344
6,4,0.375000,0.000000,71.000000,-0.082031,0.365234
6,5,0.281250,0.125003,95.000000,-0.062500,0.275391
6,6,0.328125,0.125003,183.000000,-0.072266,0.320312
6,7,0.375000,0.125003,137.000000,-0.082031,0.365234
6,8,0.234375,-0.250007,111.000000,-0.109375,0.207031
6,9,0.281250,-0.250007,234.000000,-0.140625,0.244141
6,10,0.328125,-0.250007,192.000000,-0.173828,0.277344
6,11,0.375000,-0.250007,82.000000,-0.070312,0.369141
6,12,0.234375,-0.125003,177.000000,-0.109375,0.207031
6,13,0.281250,-0.125003,354.000000,-0.140625,0.244141
6,14,0.328125,-0.125003,302.000000,-0.185547,0.271484
6,15,0.375000,-0.125003,240.000000,-0.082031,0.365234
6,16,0.375000,-0.250007,66.000000,-0.210938,0.310547
6,17,0.328125,-0.125003,276.000000,-0.062500,0.322266
7,1,0.234375,0.000000,159.000000,-0.109375,0.207031
7,2,0.281250,0.000000,246.000000,-0.140625,0.244141
7,3,0.328125,0.000000,166.000000,-0.164062,0.285156
7,4,0.375000,0.000000,108.000000,-0.082031,0.365234
7,5,0.281250,0.125003,109.000000,-0.052734,0.275391
7,6,0.328125,0.125003,251.000000,-0.072266,0.320312
7,7,0.375000,0.125003,190.000000,-0.082031,0.365234
7,8,0.281250,0.250007,35.000000,-0.052734,0.275391
7,9,0.328125,0.250007,81.000000,-0.072266,0.320312
7,10,0.375000,0.250007,61.000000,-0.082031,0.365234
7,11,0.234375,-0.250007,140.000000,-0.109375,0.207031
7,12,0.281250,-0.250007,228.000000,-0.132812,0.248047
7,13,0.328125,-0.250007,166.000000,-0.164062,0.285156
7,14,0.375000,-0.250007,126.000000,-0.070312,0.369141
7,15,0.234375,-0.125003,309.000000,-0.117188,0.203125
7,16,0.281250,-0.125003,500.000000,-0.140625,0.244141
7,17,0.328125,-0.125003,450.000000,-0.062500,0.322266
7,18,0.375000,-0.125003,376.000000,-0.082031,0.365234
7,19,0.328125,0.000000,121.000000,-0.050781,0.324219
7,20,0.328125,-0.250007,144.000000,-0.050781,0.324219
7,21,0.328125,-0.125003,369.000000,-0.173828,0.277344
8,1,0.234375,0.000000,159.000000,-0.109375,0.207031
8,2,0.281250,0.000000,246.000000,-0.140625,0.244141
8,3,0.328125,0.000000,166.000000,-0.164062,0.285156
8,4,0.375000,0.000000,108.000000,-0.082031,0.365234
8,5,0.281250,0.125003,109.000000,-0.052734,0.275391
8,6,0.328125,0.125003,251.000000,-0.072266,0.320312
8,7,0.375000,0.125003,190.000000,-0.082031,0.365234
8,8,0.281250,0.250007,35.000000,-0.052734,0.275391
8,9,0.328125,0.250007,81.000000,-0.072266,0.320312
8,10,0.375000,0.250007,61.000000,-0.082031,0.365234
8,11,0.234375,-0.250007,140.000000,-0.109375,0.207031
8,12,0.281250,-0.250007,228.000000,-0.132812,0.248047
8,13,0.328125,-0.250007,166.000000,-0.164062,0.285156
8,14,0.375000,-0.250007,126.000000,-0.070312,0.369141
8,15,0.234375,-0.125003,309.000000,-0.117188,0.203125
8,16,0.281250,-0.125003,500.000000,-0.140625,0.244141
8,17,0.328125,-0.125003,450.000000,-0.062500,0.322266
8,18,0.375000,-0.125003,376.000000,-0.082031,0.365234
8,19,0.328125,0.000000,121.000000,-0.050781,0.324219
8,20,0.328125,-0.250007,144.000000,-0.050781,0.324219
8,21,0.328125,-0.125003,369.000000,-0.173828,0.277344
9,1,0.234375,0.000000,113.000000,-0.109375,0.207031
9,2,0.281250,0.000000,208.000000,-0.132812,0.248047
9,3,0.328125,0.000000,207.000000,-0.041016,0.326172
9,4,0.375000,0.000000,125.000000,-0.046875,0.373047
9,5,0.234375,0.125003,72.000000,-0.109375,0.207031
9,6,0.281250,0.125003,159.000000,-0.035156,0.279297
9,7,0.328125,0.125003,272.000000,-0.041016,0.326172
9,8,0.375000,0.125003,183.000000,-0.058594,0.371094
9,9,0.281250,0.250007,52.000000,-0.035156,0.279297
9,10,0.328125,0.250007,89.000000,-0.050781,0.324219
9,11,0.375000,0.250007,60.000000,-0.058594,0.371094
9,12,0.234375,-0.250007,104.000000,-0.103516,0.210938
9,13,0.281250,-0.250007,203.000000,-0.123047,0.253906
9,14,0.328125,-0.250007,218.000000,-0.031250,0.326172
9,15,0.375000,-0.250007,137.000000,-0.035156,0.373047
9,16,0.234375,-0.125003,265.000000,-0.109375,0.207031
9,17,0.281250,-0.125003,503.000000,-0.132812,0.248047
9,18,0.328125,-0.125003,628.000000,-0.041016,0.326172
9,19,0.375000,-0.125003,396.000000,-0.046875,0.373047
9,20,0.281250,0.000000,156.000000,-0.035156,0.279297
9,21,0.328125,0.000000,180.000000,-0.154297,0.289062
9,22,0.281250,0.125003,154.000000,-0.132812,0.248047
9,23,0.281250,0.250007,50.000000,-0.140625,0.244141
9,24,0.281250,-0.250007,149.000000,-0.027344,0.279297
9,25,0.328125,-0.250007,191.000000,-0.144531,0.294922
9,26,0.281250,-0.125003,425.000000,-0.035156,0.279297
9,27,0.328125,-0.125003,458.000000,-0.154297,0.289062
10,1,0.234375,0.000000,113.000000,-0.109375,0.207031
10,2,0.281250,0.000000,208.000000,-0.132812,0.248047
10,3,0.328125,0.000000,207.000000,-0.041016,0.326172
10,4,0.375000,0.000000,125.000000,-0.046875,0.373047
10,5,0.234375,0.125003,72.000000,-0.109375,0.207031
10,6,0.281250,0.125003,159.000000,-0.035156,0.279297
10,7,0.328125,0.125003,272.000000,-0.041016,0.326172
10,8,0.375000,0.125003,183.000000,-0.058594,0.371094
10,9,0.281250,0.250007,52.000000,-0.035156,0.279297
10,10,0.328125,0.250007,89.000000,-0.050781,0.324219
10,11,0.375000,0.250007,60.000000,-0.058594,0.371094
10,12,0.234375,-0.250007,104.000000,-0.103516,0.210938
10,13,0.281250,-0.250007,203.000000,-0.123047,0.253906
10,14,0.328125,-0.250007,218.000000,-0.031250,0.326172
10,15,0.375000,-0.250007,137.000000,-0.035156,0.373047
10,16,0.234375,-0.125003,265.000000,-0.109375,0.207031
10,17,0.281250,-0.125003,503.000000,-0.132812,0.248047
10,18,0.328125,-0.125003,628.000000,-0.041016,0.326172
10,19,0.375000,-0.125003,396.000000,-0.046875,0.373047
10,20,0.281250,0.000000,156.000000,-0.035156,0.279297
10,21,0.328125,0.000000,180.000000,-0.154297,0.289062
10,22,0.281250,0.125003,154.000000,-0.132812,0.248047
10,23,0.281250,0.250007,50.000000,-0.140625,0.244141
10,24,0.281250,-0.250007,149.000000,-0.027344,0.279297
10,25,0.328125,-0.250007,191.000000,-0.144531,0.294922
10,26,0.281250,-0.125003,425.000000,-0.035156,0.279297
10,27,0.328125,-0.125003,458.000000,-0.154297,0.289062
11,1,0.234375,0.000000,112.000000,-0.050781,0.228516
11,2,0.281250,0.000000,321.000000,-0.052734,0.275391
11,3,0.328125,0.000000,341.000000,-0.062500,0.322266
11,4,0.375000,0.000000,137.000000,-0.058594,0.371094
11,5,0.234375,0.125003,76.000000,-0.058594,0.226562
11,6,0.281250,0.125003,271.000000,-0.052734,0.275391
11,7,0.328125,0.125003,360.000000,-0.050781,0.324219
11,8,0.375000,0.125003,187.000000,-0.058594,0.371094
11,9,0.281250,0.250007,89.000000,-0.062500,0.275391
11,10,0.328125,0.250007,118.000000,-0.062500,0.322266
11,11,0.375000,0.250007,60.000000,-0.058594,0.371094
11,12,0.234375,-0.250007,99.000000,-0.044922,0.230469
11,13,0.281250,-0.250007,297.000000,-0.044922,0.277344
11,14,0.328125,-0.250007,337.000000,-0.050781,0.324219
11,15,0.375000,-0.250007,147.000000,-0.046875,0.373047
11,16,0.234375,-0.125003,269.000000,-0.050781,0.228516
11,17,0.281250,-0.125003,817.000000,-0.052734,0.275391
11,18,0.328125,-0.125003,944.000000,-0.062500,0.322266
11,19,0.375000,-0.125003,421.000000,-0.058594,0.371094
12,1,0.234375,0.000000,158.000000,-0.044922,0.230469
12,2,0.281250,0.000000,487.000000,-0.044922,0.277344
12,3,0.328125,0.000000,592.000000,-0.041016,0.326172
12,4,0.375000,0.000000,290.000000,-0.046875,0.373047
12,5,0.281250,0.125003,93.000000,-0.062500,0.275391
12,6,0.328125,0.125003,112.000000,-0.062500,0.322266
12,7,0.375000,0.125003,70.000000,-0.058594,0.371094
12,8,0.187500,-0.500013,21.000000,-0.064453,0.175781
12,9,0.234375,-0.500013,73.000000,-0.080078,0.220703
12,10,0.281250,-0.500013,87.000000,-0.087891,0.267578
12,11,0.328125,-0.500013,37.000000,-0.103516,0.312500
12,12,0.187500,-0.375010,81.000000,-0.070312,0.173828
12,13,0.234375,-0.375010,306.000000,-0.087891,0.216797
12,14,0.281250,-0.375010,394.000000,-0.115234,0.257812
12,15,0.328125,-0.375010,195.000000,-0.144531,0.294922
12,16,0.375000,-0.375010,50.000000,-0.046875,0.373047
12,17,0.187500,-0.250007,97.000000,-0.070312,0.173828
12,18,0.234375,-0.250007,420.000000,-0.095703,0.214844
12,19,0.281250,-0.250007,785.000000,-0.027344,0.279297
12,20,0.328125,-0.250007,852.000000,-0.041016,0.326172
12,21,0.375000,-0.250007,350.000000,-0.046875,0.373047
12,22,0.234375,-0.125003,327.000000,-0.037109,0.232422
12,23,0.281250,-0.125003,1064.000000,-0.044922,0.277344
12,24,0.328125,-0.125003,1289.000000,-0.050781,0.324219
12,25,0.375000,-0.125003,621.000000,-0.058594,0.371094
12,26,0.328125,-0.375010,170.000000,-0.041016,0.326172
12,27,0.281250,-0.250007,715.000000,-0.132812,0.248047
12,28,0.234375,-0.125003,233.000000,-0.117188,0.203125
13,1,0.234375,0.000000,65.000000,-0.007812,0.234375
13,2,0.281250,0.000000,225.000000,-0.009766,0.281250
13,3,0.328125,0.000000,308.000000,-0.009766,0.328125
13,4,0.375000,0.000000,173.000000,-0.011719,0.375000
13,5,0.187500,-1.000027,70.000000,-0.058594,0.177734
13,6,0.234375,-1.000027,151.000000,-0.074219,0.222656
13,7,0.281250,-1.000027,118.000000,-0.087891,0.267578
13,8,0.328125,-1.000027,27.000000,-0.103516,0.312500
13,9,0.140625,-0.875023,25.000000,-0.044922,0.132812
13,10,0.187500,-0.875023,192.000000,-0.058594,0.177734
13,11,0.234375,-0.875023,377.000000,-0.074219,0.222656
13,12,0.281250,-0.875023,271.000000,-0.087891,0.267578
13,13,0.328125,-0.875023,56.000000,-0.103516,0.312500
13,14,0.140625,-0.750020,25.000000,-0.039062,0.134766
13,15,0.187500,-0.750020,179.000000,-0.052734,0.179688
13,16,0.234375,-0.750020,334.000000,-0.074219,0.222656
13,17,0.281250,-0.750020,228.000000,-0.087891,0.267578
13,18,0.328125,-0.750020,44.000000,-0.103516,0.312500
13,19,0.187500,-0.625017,71.000000,-0.023438,0.185547
13,20,0.234375,-0.625017,150.000000,-0.029297,0.232422
13,21,0.281250,-0.625017,108.000000,-0.035156,0.279297
13,22,0.187500,-0.500013,133.000000,-0.029297,0.185547
13,23,0.234375,-0.500013,296.000000,-0.037109,0.232422
13,24,0.281250,-0.500013,246.000000,-0.035156,0.279297
13,25,0.328125,-0.500013,85.000000,-0.031250,0.326172
13,26,0.187500,-0.375010,74.000000,-0.035156,0.183594
13,27,0.234375,-0.375010,248.000000,-0.037109,0.232422
13,28,0.281250,-0.375010,363.000000,-0.035156,0.279297
13,29,0.328125,-0.375010,234.000000,-0.031250,0.326172
13,30,0.234375,-0.250007,141.000000,-0.021484,0.232422
13,31,0.281250,-0.250007,256.000000,-0.017578,0.281250
13,32,0.328125,-0.250007,192.000000,0.000000,0.328125
13,33,0.375000,-0.250007,122.000000,0.000000,0.375000
13,34,0.234375,-0.125003,111.000000,-0.007812,0.234375
13,35,0.281250,-0.125003,358.000000,-0.009766,0.281250
13,36,0.328125,-0.125003,536.000000,-0.009766,0.328125
13,37,0.375000,-0.125003,334.000000,-0.023438,0.375000
13,38,0.187500,-0.625017,64.000000,-0.087891,0.166016
13,39,0.234375,-0.625017,123.000000,-0.109375,0.207031
13,40,0.281250,-0.625017,88.000000,-0.132812,0.248047
13,41,0.328125,-0.500013,60.000000,-0.154297,0.289062
14,1,0.187500,0.125003,128.000000,0.017578,0.187500
14,2,0.234375,0.125003,203.000000,0.021484,0.232422
14,3,0.187500,0.250007,166.000000,0.023438,0.185547
14,4,0.234375,0.250007,259.000000,0.029297,0.232422
14,5,0.281250,0.250007,167.000000,0.027344,0.279297
14,6,0.140625,0.375010,24.000000,0.017578,0.138672
14,7,0.187500,0.375010,116.000000,0.023438,0.185547
14,8,0.234375,0.375010,179.000000,0.029297,0.232422
14,9,0.281250,0.375010,104.000000,0.035156,0.279297
14,10,0.187500,0.500013,47.000000,0.029297,0.185547
14,11,0.234375,0.500013,71.000000,0.037109,0.232422
14,12,0.281250,0.500013,38.000000,0.044922,0.277344
14,13,0.187500,0.625017,14.000000,0.035156,0.183594
14,14,0.234375,0.625017,20.000000,0.037109,0.232422
14,15,0.281250,0.500013,27.000000,-0.070312,0.271484
15,1,0.281250,0.000000,127.000000,0.035156,0.279297
15,2,0.328125,0.000000,240.000000,0.041016,0.326172
15,3,0.375000,0.000000,163.000000,0.035156,0.373047
15,4,0.281250,0.125003,148.000000,0.017578,0.281250
15,5,0.328125,0.125003,369.000000,0.031250,0.326172
15,6,0.375000,0.125003,282.000000,0.035156,0.373047
15,7,0.234375,0.250007,68.000000,0.037109,0.232422
15,8,0.281250,0.250007,105.000000,0.052734,0.275391
15,9,0.328125,0.250007,117.000000,0.009766,0.328125
15,10,0.375000,0.250007,124.000000,0.023438,0.375000
15,11,0.234375,0.375010,65.000000,0.037109,0.232422
15,12,0.281250,0.375010,147.000000,0.044922,0.277344
15,13,0.328125,0.375010,119.000000,0.050781,0.324219
15,14,0.187500,-0.875023,62.000000,0.035156,0.183594
15,15,0.234375,-0.875023,229.000000,0.044922,0.230469
15,16,0.281250,-0.875023,285.000000,0.044922,0.277344
15,17,0.328125,-0.875023,128.000000,0.050781,0.324219
15,18,0.375000,-0.875023,16.000000,0.046875,0.373047
15,19,0.187500,-0.750020,76.000000,0.046875,0.181641
15,20,0.234375,-0.750020,253.000000,0.050781,0.228516
15,21,0.281250,-0.750020,283.000000,0.062500,0.275391
15,22,0.328125,-0.750020,110.000000,0.062500,0.322266
15,23,0.187500,-0.625017,58.000000,0.041016,0.183594
15,24,0.234375,-0.625017,194.000000,0.050781,0.228516
15,25,0.281250,-0.625017,219.000000,0.062500,0.275391
15,26,0.328125,-0.625017,87.000000,0.072266,0.320312
16,1,0.281250,0.000000,127.000000,0.035156,0.279297
16,2,0.328125,0.000000,240.000000,0.041016,0.326172
16,3,0.375000,0.000000,163.000000,0.035156,0.373047
16,4,0.281250,0.125003,148.000000,0.017578,0.281250
16,5,0.328125,0.125003,369.000000,0.031250,0.326172
16,6,0.375000,0.125003,282.000000,0.035156,0.373047
16,7,0.234375,0.250007,68.000000,0.037109,0.232422
16,8,0.281250,0.250007,105.000000,0.052734,0.275391
16,9,0.328125,0.250007,117.000000,0.009766,0.328125
16,10,0.375000,0.250007,124.000000,0.023438,0.375000
16,11,0.234375,0.375010,65.000000,0.037109,0.232422
16,12,0.281250,0.375010,147.000000,0.044922,0.277344
16,13,0.328125,0.375010,119.000000,0.050781,0.324219
16,14,0.187500,-0.875023,62.000000,0.035156,0.183594
16,15,0.234375,-0.875023,229.000000,0.044922,0.230469
16,16,0.281250,-0.875023,285.000000,0.044922,0.277344
16,17,0.328125,-0.875023,128.000000,0.050781,0.324219
16,18,0.375000,-0.875023,16.000000,0.046875,0.373047
16,19,0.187500,-0.750020,76.000000,0.046875,0.181641
16,20,0.234375,-0.750020,253.000000,0.050781,0.228516
16,21,0.281250,-0.750020,283.000000,0.062500,0.275391
16,22,0.328125,-0.750020,110.000000,0.062500,0.322266
16,23,0.187500,-0.625017,58.000000,0.041016,0.183594
16,24,0.234375,-0.625017,194.000000,0.050781,0.228516
16,25,0.281250,-0.625017,219.000000,0.062500,0.275391
16,26,0.328125,-0.625017,87.000000,0.072266,0.320312
17,1,0.234375,0.000000,137.000000,0.044922,0.230469
17,2,0.281250,0.000000,380.000000,0.052734,0.275391
17,3,0.328125,0.000000,429.000000,0.050781,0.324219
17,4,0.375000,0.000000,206.000000,0.058594,0.371094
17,5,0.234375,0.125003,436.000000,0.050781,0.228516
17,6,0.281250,0.125003,1285.000000,0.062500,0.275391
17,7,0.328125,0.125003,1412.000000,0.072266,0.320312
17,8,0.375000,0.125003,623.000000,0.070312,0.369141
17,9,0.234375,0.250007,706.000000,0.058594,0.226562
17,10,0.281250,0.250007,2220.000000,0.070312,0.271484
17,11,0.328125,0.250007,2454.000000,0.082031,0.318359
17,12,0.375000,0.250007,997.000000,0.093750,0.363281
17,13,0.421875,0.250007,98.000000,0.080078,0.414062
17,14,0.234375,0.375010,558.000000,0.066406,0.224609
17,15,0.281250,0.375010,1830.000000,0.080078,0.269531
17,16,0.328125,0.375010,2039.000000,0.091797,0.314453
17,17,0.375000,0.375010,815.000000,0.105469,0.359375
17,18,0.421875,0.375010,78.000000,0.105469,0.408203
17,19,0.234375,0.500013,186.000000,0.103516,0.210938
17,20,0.281250,0.500013,690.000000,0.123047,0.253906
17,21,0.328125,0.500013,817.000000,0.132812,0.300781
17,22,0.375000,0.500013,339.000000,0.152344,0.341797
17,23,0.421875,0.500013,35.000000,0.144531,0.396484
17,24,0.281250,-0.125003,66.000000,0.035156,0.279297
17,25,0.328125,-0.125003,78.000000,0.041016,0.326172
17,26,0.281250,-0.125003,63.000000,0.132812,0.248047
17,27,0.328125,-0.125003,67.000000,0.154297,0.289062
18,1,0.234375,0.000000,50.000000,0.074219,0.222656
18,2,0.281250,0.000000,178.000000,0.097656,0.263672
18,3,0.328125,0.000000,213.000000,0.123047,0.304688
18,4,0.375000,0.000000,94.000000,0.152344,0.341797
18,5,0.234375,0.125003,59.000000,0.087891,0.216797
18,6,0.281250,0.125003,209.000000,0.105469,0.261719
18,7,0.328125,0.125003,246.000000,0.123047,0.304688
18,8,0.375000,0.125003,102.000000,0.140625,0.347656
18,9,0.234375,0.250007,22.000000,0.080078,0.220703
18,10,0.281250,0.250007,78.000000,0.097656,0.263672
18,11,0.328125,0.250007,94.000000,0.113281,0.308594
18,12,0.375000,0.250007,39.000000,0.128906,0.351562
