FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.609375,-0.125003,20.000000,0.115234,0.599609
2,1,0.609375,-0.125003,21.000000,0.132812,0.593750
3,1,0.187500,0.000000,133.000000,0.017578,0.187500
3,2,0.234375,0.000000,184.000000,0.021484,0.232422
3,3,0.281250,0.000000,98.000000,0.017578,0.281250
3,4,0.281250,0.125003,96.000000,0.000000,0.281250
3,5,0.140625,-0.250007,27.000000,0.017578,0.138672
3,6,0.187500,-0.250007,116.000000,0.023438,0.185547
3,7,0.234375,-0.250007,154.000000,0.021484,0.232422
3,8,0.281250,-0.250007,69.000000,0.035156,0.279297
3,9,0.140625,-0.125003,58.000000,0.013672,0.140625
3,10,0.187500,-0.125003,248.000000,0.011719,0.187500
3,11,0.234375,-0.125003,324.000000,0.015625,0.234375
3,12,0.281250,-0.125003,137.000000,0.027344,0.279297
4,1,0.187500,0.000000,133.000000,0.017578,0.187500
4,2,0.234375,0.000000,184.000000,0.021484,0.232422
4,3,0.281250,0.000000,98.000000,0.017578,0.281250
4,4,0.281250,0.125003,96.000000,0.000000,0.281250
4,5,0.140625,-0.250007,27.000000,0.017578,0.138672
4,6,0.187500,-0.250007,116.000000,0.023438,0.185547
4,7,0.234375,-0.250007,154.000000,0.021484,0.232422
4,8,0.281250,-0.250007,69.000000,0.035156,0.279297
4,9,0.140625,-0.125003,58.000000,0.013672,0.140625
4,10,0.187500,-0.125003,248.000000,0.011719,0.187500
4,11,0.234375,-0.125003,324.000000,0.015625,0.234375
4,12,0.281250,-0.125003,137.000000,0.027344,0.279297
5,1,0.234375,0.000000,93.000000,0.000000,0.234375
5,2,0.281250,0.000000,82.000000,0.009766,0.281250
5,3,0.187500,0.250007,231.000000,-0.023438,0.185547
5,4,0.234375,0.250007,301.000000,-0.029297,0.232422
5,5,0.187500,0.375010,169.000000,-0.023438,0.185547
5,6,0.234375,0.375010,255.000000,-0.029297,0.232422
5,7,0.281250,0.375010,165.000000,-0.027344,0.279297
5,8,0.187500,0.500013,140.000000,-0.029297,0.185547
5,9,0.234375,0.500013,241.000000,-0.037109,0.232422
5,10,0.281250,0.500013,143.000000,-0.044922,0.277344
5,11,0.187500,0.625017,85.000000,-0.029297,0.185547
5,12,0.234375,0.625017,143.000000,-0.037109,0.232422
5,13,0.281250,0.625017,82.000000,-0.044922,0.277344
5,14,0.234375,-0.125003,59.000000,0.000000,0.234375
5,15,0.281250,-0.125003,69.000000,0.000000,0.281250
6,1,0.234375,0.000000,93.000000,-0.007812,0.234375
6,2,0.281250,0.000000,193.000000,-0.009766,0.281250
6,3,0.328125,0.000000,136.000000,-0.009766,0.328125
6,4,0.234375,0.125003,204.000000,0.000000,0.234375
6,5,0.281250,0.125003,410.000000,0.000000,0.281250
6,6,0.328125,0.125003,267.000000,0.000000,0.328125
6,7,0.234375,0.250007,196.000000,-0.007812,0.234375
6,8,0.281250,0.250007,386.000000,-0.009766,0.281250
6,9,0.328125,0.250007,247.000000,-0.009766,0.328125
6,10,0.281250,0.375010,108.000000,-0.009766,0.281250
6,11,0.187500,0.500013,40.000000,-0.023438,0.185547
6,12,0.234375,0.500013,135.000000,-0.037109,0.232422
6,13,0.281250,0.500013,168.000000,-0.052734,0.275391
6,14,0.328125,0.500013,91.000000,-0.050781,0.324219
6,15,0.234375,0.625017,54.000000,-0.037109,0.232422
6,16,0.281250,0.625017,100.000000,-0.052734,0.275391
6,17,0.328125,0.625017,74.000000,-0.050781,0.324219
6,18,0.187500,0.750020,127.000000,-0.046875,0.181641
6,19,0.234375,0.750020,298.000000,-0.058594,0.226562
6,20,0.281250,0.750020,255.000000,-0.070312,0.271484
6,21,0.328125,0.750020,69.000000,-0.091797,0.314453
6,22,0.187500,0.875023,212.000000,-0.052734,0.179688
6,23,0.234375,0.875023,543.000000,-0.066406,0.224609
6,24,0.281250,0.875023,503.000000,-0.080078,0.269531
6,25,0.328125,0.875023,156.000000,-0.091797,0.314453
6,26,0.187500,-1.000027,165.000000,-0.093750,0.162109
6,27,0.234375,-1.000027,412.000000,-0.117188,0.203125
6,28,0.281250,-1.000027,369.000000,-0.140625,0.244141
6,29,0.328125,-1.000027,109.000000,-0.164062,0.285156
6,30,0.187500,-0.875023,55.000000,-0.099609,0.158203
6,31,0.234375,-0.875023,134.000000,-0.125000,0.199219
6,32,0.281250,-0.875023,116.000000,-0.150391,0.238281
6,33,0.328125,-0.875023,32.000000,-0.173828,0.277344
6,34,0.281250,0.375010,98.000000,-0.097656,0.263672
6,35,0.281250,-0.875023,87.000000,-0.044922,0.277344
6,36,0.328125,-0.875023,27.000000,-0.050781,0.324219
7,1,0.281250,0.000000,219.000000,0.000000,0.281250
7,2,0.328125,0.000000,367.000000,0.000000,0.328125
7,3,0.375000,0.000000,221.000000,0.000000,0.375000
7,4,0.281250,0.125003,539.000000,0.000000,0.281250
7,5,0.328125,0.125003,894.000000,0.000000,0.328125
7,6,0.375000,0.125003,536.000000,0.000000,0.375000
7,7,0.234375,0.250007,125.000000,-0.021484,0.232422
7,8,0.281250,0.250007,669.000000,-0.017578,0.281250
7,9,0.328125,0.250007,1057.000000,-0.021484,0.328125
7,10,0.375000,0.250007,604.000000,-0.023438,0.375000
7,11,0.234375,0.375010,130.000000,-0.037109,0.232422
7,12,0.281250,0.375010,613.000000,-0.035156,0.279297
7,13,0.328125,0.375010,889.000000,-0.041016,0.326172
7,14,0.375000,0.375010,459.000000,-0.046875,0.373047
7,15,0.234375,0.500013,90.000000,-0.044922,0.230469
7,16,0.281250,0.500013,386.000000,-0.044922,0.277344
7,17,0.328125,0.500013,514.000000,-0.050781,0.324219
7,18,0.375000,0.500013,238.000000,-0.058594,0.371094
7,19,0.234375,0.750020,128.000000,-0.080078,0.220703
7,20,0.281250,0.750020,257.000000,-0.097656,0.263672
7,21,0.328125,0.750020,207.000000,-0.113281,0.308594
7,22,0.234375,0.875023,179.000000,-0.080078,0.220703
7,23,0.281250,0.875023,349.000000,-0.097656,0.263672
7,24,0.328125,0.875023,257.000000,-0.113281,0.308594
7,25,0.234375,-1.000027,164.000000,-0.132812,0.193359
7,26,0.281250,-1.000027,276.000000,-0.158203,0.232422
7,27,0.328125,-1.000027,162.000000,-0.185547,0.271484
7,28,0.234375,-0.875023,87.000000,-0.138672,0.189453
7,29,0.281250,-0.875023,142.000000,-0.167969,0.226562
7,30,0.328125,-0.875023,85.000000,-0.205078,0.255859
7,31,0.328125,-0.875023,61.000000,-0.082031,0.318359
8,1,0.281250,0.000000,172.000000,0.000000,0.281250
8,2,0.328125,0.000000,385.000000,0.000000,0.328125
8,3,0.375000,0.000000,296.000000,0.000000,0.375000
8,4,0.281250,0.125003,601.000000,-0.017578,0.281250
8,5,0.328125,0.125003,1138.000000,-0.021484,0.328125
8,6,0.375000,0.125003,793.000000,-0.023438,0.375000
8,7,0.234375,0.250007,175.000000,-0.029297,0.232422
8,8,0.281250,0.250007,962.000000,-0.035156,0.279297
8,9,0.328125,0.250007,1612.000000,-0.041016,0.326172
8,10,0.375000,0.250007,1016.000000,-0.046875,0.373047
8,11,0.421875,0.250007,183.000000,-0.052734,0.417969
8,12,0.234375,0.375010,144.000000,-0.044922,0.230469
8,13,0.281250,0.375010,872.000000,-0.052734,0.275391
8,14,0.328125,0.375010,1454.000000,-0.062500,0.322266
8,15,0.375000,0.375010,883.000000,-0.070312,0.369141
8,16,0.234375,0.500013,252.000000,-0.074219,0.222656
8,17,0.281250,0.500013,940.000000,-0.087891,0.267578
8,18,0.328125,0.500013,1154.000000,-0.103516,0.312500
8,19,0.375000,0.500013,513.000000,-0.105469,0.359375
8,20,0.234375,0.625017,200.000000,-0.080078,0.220703
8,21,0.281250,0.625017,855.000000,-0.105469,0.261719
8,22,0.328125,0.625017,1162.000000,-0.123047,0.304688
8,23,0.375000,0.625017,569.000000,-0.140625,0.347656
8,24,0.234375,0.750020,54.000000,-0.103516,0.210938
8,25,0.281250,0.750020,255.000000,-0.123047,0.253906
8,26,0.328125,0.750020,369.000000,-0.132812,0.300781
8,27,0.375000,0.750020,195.000000,-0.152344,0.341797
8,28,0.281250,0.000000,124.000000,-0.097656,0.263672
9,1,0.281250,0.000000,299.000000,-0.062500,0.275391
9,2,0.328125,0.000000,561.000000,-0.072266,0.320312
9,3,0.375000,0.000000,405.000000,-0.082031,0.365234
9,4,0.234375,0.125003,171.000000,-0.058594,0.226562
9,5,0.281250,0.125003,1171.000000,-0.080078,0.269531
9,6,0.328125,0.125003,2233.000000,-0.091797,0.314453
9,7,0.375000,0.125003,1591.000000,-0.093750,0.363281
9,8,0.421875,0.125003,342.000000,-0.105469,0.408203
9,9,0.234375,0.250007,235.000000,-0.074219,0.222656
9,10,0.281250,0.250007,1677.000000,-0.087891,0.267578
9,11,0.328125,0.250007,3181.000000,-0.103516,0.312500
9,12,0.375000,0.250007,2226.000000,-0.117188,0.355469
9,13,0.421875,0.250007,464.000000,-0.119141,0.404297
9,14,0.234375,0.375010,123.000000,-0.087891,0.216797
9,15,0.281250,0.375010,889.000000,-0.097656,0.263672
9,16,0.328125,0.375010,1679.000000,-0.113281,0.308594
9,17,0.375000,0.375010,1155.000000,-0.128906,0.351562
9,18,0.421875,0.375010,226.000000,-0.132812,0.400391
9,19,0.281250,0.500013,150.000000,-0.115234,0.257812
9,20,0.328125,0.500013,293.000000,-0.132812,0.300781
9,21,0.375000,0.500013,207.000000,-0.152344,0.341797
9,22,0.421875,0.500013,41.000000,-0.171875,0.384766
10,1,0.281250,0.000000,299.000000,-0.062500,0.275391
10,2,0.328125,0.000000,561.000000,-0.072266,0.320312
10,3,0.375000,0.000000,405.000000,-0.082031,0.365234
10,4,0.234375,0.125003,171.000000,-0.058594,0.226562
10,5,0.281250,0.125003,1171.000000,-0.080078,0.269531
10,6,0.328125,0.125003,2233.000000,-0.091797,0.314453
10,7,0.375000,0.125003,1591.000000,-0.093750,0.363281
10,8,0.421875,0.125003,342.000000,-0.105469,0.408203
10,9,0.234375,0.250007,235.000000,-0.074219,0.222656
10,10,0.281250,0.250007,1677.000000,-0.087891,0.267578
10,11,0.328125,0.250007,3181.000000,-0.103516,0.312500
10,12,0.375000,0.250007,2226.000000,-0.117188,0.355469
10,13,0.421875,0.250007,464.000000,-0.119141,0.404297
10,14,0.234375,0.375010,123.000000,-0.087891,0.216797
10,15,0.281250,0.375010,889.000000,-0.097656,0.263672
10,16,0.328125,0.375010,1679.000000,-0.113281,0.308594
10,17,0.375000,0.375010,1155.000000,-0.128906,0.351562
10,18,0.421875,0.375010,226.000000,-0.132812,0.400391
10,19,0.281250,0.500013,150.000000,-0.115234,0.257812
10,20,0.328125,0.500013,293.000000,-0.132812,0.300781
10,21,0.375000,0.500013,207.000000,-0.152344,0.341797
10,22,0.421875,0.500013,41.000000,-0.171875,0.384766
11,1,0.234375,0.000000,71.000000,-0.044922,0.230469
11,2,0.281250,0.000000,443.000000,-0.052734,0.275391
