FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.281250,0.500013,20.000000,0.000000,0.281250
1,2,0.328125,0.500013,27.000000,0.009766,0.328125
2,1,0.281250,0.500013,20.000000,0.000000,0.281250
2,2,0.328125,0.500013,27.000000,0.009766,0.328125
3,1,0.281250,0.500013,20.000000,0.000000,0.281250
3,2,0.328125,0.500013,27.000000,0.009766,0.328125
4,1,0.609375,0.125003,18.000000,0.115234,0.599609
4,2,0.328125,0.375010,63.000000,-0.031250,0.326172
4,3,0.375000,0.375010,105.000000,-0.023438,0.375000
4,4,0.421875,0.375010,73.000000,-0.013672,0.421875
4,5,0.328125,0.500013,51.000000,-0.021484,0.328125
4,6,0.375000,0.500013,73.000000,-0.035156,0.373047
4,7,0.421875,0.500013,47.000000,-0.039062,0.419922
4,8,0.328125,0.625017,29.000000,-0.009766,0.328125
4,9,0.375000,0.625017,26.000000,-0.023438,0.375000
5,1,0.328125,0.375010,24.000000,0.009766,0.328125
5,2,0.375000,0.375010,26.000000,-0.082031,0.365234
5,3,0.421875,0.375010,32.000000,-0.080078,0.414062
5,4,0.609375,-0.125003,29.000000,0.115234,0.599609
5,5,0.375000,0.375010,25.000000,0.035156,0.373047
6,1,0.609375,-0.125003,23.000000,0.115234,0.599609
7,1,0.421875,0.000000,24.000000,-0.027344,0.421875
8,1,0.421875,0.000000,24.000000,-0.027344,0.421875
9,1,0.421875,0.000000,24.000000,-0.027344,0.421875
10,1,0.609375,0.125003,18.000000,0.152344,0.589844
10,2,0.609375,-0.125003,18.000000,0.132812,0.593750
11,1,0.609375,0.125003,26.000000,0.132812,0.593750
11,2,0.609375,-0.125003,21.000000,0.132812,0.593750
12,1,0.609375,0.125003,26.000000,0.132812,0.593750
12,2,0.609375,-0.125003,21.000000,0.132812,0.593750
13,1,0.609375,0.125003,40.000000,0.115234,0.599609
13,2,0.609375,-0.125003,31.000000,0.115234,0.599609
14,1,0.328125,-0.375010,64.000000,0.009766,0.328125
14,2,0.375000,-0.375010,62.000000,0.023438,0.375000
15,1,0.328125,-0.625017,26.000000,0.009766,0.328125
15,2,0.328125,-0.500013,32.000000,0.009766,0.328125
15,3,0.375000,-0.500013,48.000000,0.000000,0.375000
15,4,0.421875,-0.500013,25.000000,0.000000,0.421875
15,5,0.328125,-0.375010,64.000000,-0.021484,0.328125
15,6,0.375000,-0.375010,99.000000,-0.011719,0.375000
15,7,0.421875,-0.375010,58.000000,-0.013672,0.421875
16,1,0.328125,-0.625017,26.000000,0.009766,0.328125
16,2,0.328125,-0.500013,32.000000,0.009766,0.328125
16,3,0.375000,-0.500013,48.000000,0.000000,0.375000
16,4,0.421875,-0.500013,25.000000,0.000000,0.421875
16,5,0.328125,-0.375010,64.000000,-0.021484,0.328125
16,6,0.375000,-0.375010,99.000000,-0.011719,0.375000
16,7,0.421875,-0.375010,58.000000,-0.013672,0.421875
17,1,0.281250,-0.750020,37.000000,0.000000,0.281250
17,2,0.328125,-0.750020,45.000000,0.000000,0.328125
17,3,0.375000,-0.750020,19.000000,0.011719,0.375000
17,4,0.281250,-0.625017,49.000000,-0.009766,0.281250
17,5,0.328125,-0.625017,55.000000,-0.009766,0.328125
17,6,0.375000,-0.625017,22.000000,0.000000,0.375000
17,7,0.375000,-0.750020,13.000000,-0.128906,0.351562
17,8,0.375000,-0.625017,17.000000,-0.128906,0.351562
18,1,0.328125,0.125003,252.000000,0.031250,0.326172
18,2,0.328125,0.250007,203.000000,0.041016,0.326172
18,3,0.281250,0.375010,199.000000,-0.017578,0.281250
18,4,0.328125,0.375010,184.000000,-0.009766,0.328125
18,5,0.281250,0.500013,126.000000,-0.009766,0.281250
18,6,0.328125,0.500013,136.000000,-0.009766,0.328125
18,7,0.281250,0.625017,95.000000,0.017578,0.281250
19,1,0.328125,0.375010,310.000000,0.041016,0.326172
19,2,0.375000,0.375010,713.000000,0.035156,0.373047
19,3,0.421875,0.375010,600.000000,0.039062,0.419922
19,4,0.468750,0.375010,163.000000,0.044922,0.466797
19,5,0.281250,0.500013,86.000000,-0.052734,0.275391
19,6,0.328125,0.500013,363.000000,0.041016,0.326172
19,7,0.375000,0.500013,688.000000,0.046875,0.373047
19,8,0.421875,0.500013,542.000000,0.039062,0.419922
19,9,0.468750,0.500013,146.000000,0.044922,0.466797
19,10,0.281250,0.625017,120.000000,-0.052734,0.275391
19,11,0.328125,0.625017,300.000000,-0.062500,0.322266
19,12,0.375000,0.625017,291.000000,-0.082031,0.365234
19,13,0.421875,0.625017,176.000000,0.052734,0.417969
19,14,0.281250,0.875023,91.000000,-0.017578,0.281250
19,15,0.328125,0.875023,137.000000,-0.021484,0.328125
19,16,0.375000,0.875023,89.000000,-0.011719,0.375000
19,17,0.281250,-1.000027,87.000000,-0.062500,0.275391
19,18,0.328125,-1.000027,111.000000,-0.082031,0.318359
19,19,0.375000,-1.000027,57.000000,-0.105469,0.359375
19,20,0.234375,-0.875023,17.000000,-0.050781,0.228516
19,21,0.281250,-0.875023,70.000000,-0.052734,0.275391
19,22,0.328125,-0.875023,88.000000,-0.062500,0.322266
19,23,0.375000,-0.875023,42.000000,-0.058594,0.371094
19,24,0.281250,0.500013,72.000000,0.044922,0.277344
19,25,0.328125,0.500013,286.000000,-0.072266,0.320312
19,26,0.328125,0.625017,230.000000,0.050781,0.324219
19,27,0.375000,0.625017,284.000000,0.058594,0.371094
19,28,0.421875,0.625017,133.000000,-0.105469,0.408203
19,29,0.375000,-1.000027,44.000000,0.011719,0.375000
19,30,0.234375,-0.875023,12.000000,0.037109,0.232422
20,1,0.421875,0.500013,263.000000,0.027344,0.421875
20,2,0.468750,0.500013,157.000000,0.029297,0.468750
20,3,0.375000,0.625017,279.000000,0.011719,0.375000
20,4,0.421875,0.625017,406.000000,0.027344,0.421875
20,5,0.468750,0.625017,222.000000,0.029297,0.468750
20,6,0.328125,0.750020,93.000000,0.000000,0.328125
20,7,0.375000,0.750020,293.000000,0.000000,0.375000
20,8,0.421875,0.750020,314.000000,0.000000,0.421875
20,9,0.468750,0.750020,119.000000,0.015625,0.468750
20,10,0.328125,0.875023,99.000000,-0.009766,0.328125
20,11,0.375000,0.875023,219.000000,-0.011719,0.375000
20,12,0.421875,0.875023,173.000000,-0.027344,0.421875
20,13,0.328125,-1.000027,64.000000,-0.031250,0.326172
20,14,0.375000,-1.000027,138.000000,-0.046875,0.373047
20,15,0.421875,-1.000027,112.000000,-0.039062,0.419922
21,1,0.421875,0.500013,98.000000,0.013672,0.421875
21,2,0.468750,0.500013,90.000000,0.029297,0.468750
21,3,0.421875,0.625017,141.000000,0.000000,0.421875
21,4,0.468750,0.625017,194.000000,0.000000,0.468750
21,5,0.515625,0.625017,88.000000,0.000000,0.515625
21,6,0.421875,0.750020,118.000000,-0.027344,0.421875
21,7,0.468750,0.750020,122.000000,-0.015625,0.468750
21,8,0.515625,0.750020,57.000000,0.000000,0.515625
21,9,0.375000,0.875023,70.000000,-0.035156,0.373047
21,10,0.421875,0.875023,145.000000,-0.027344,0.421875
