FrameNumber, ObjectNumber,Range,Velocity,PeakValue,x,y
0,0,0.000000,0.000000,0.000000,0.000000,0.000000
1,1,0.468750,0.375010,90.000000,-0.015625,0.468750
1,2,0.515625,0.375010,166.000000,-0.015625,0.515625
1,3,0.562500,0.375010,119.000000,-0.017578,0.562500
1,4,0.421875,0.500013,114.000000,0.000000,0.421875
1,5,0.468750,0.500013,336.000000,-0.015625,0.468750
1,6,0.515625,0.500013,432.000000,-0.015625,0.515625
1,7,0.562500,0.500013,263.000000,-0.017578,0.562500
1,8,0.609375,0.500013,72.000000,-0.208984,0.572266
1,9,0.421875,0.625017,260.000000,0.000000,0.421875
1,10,0.468750,0.625017,547.000000,-0.015625,0.468750
1,11,0.515625,0.625017,487.000000,-0.015625,0.515625
1,12,0.562500,0.625017,263.000000,0.000000,0.562500
1,13,0.375000,0.750020,38.000000,0.000000,0.375000
1,14,0.421875,0.750020,265.000000,0.000000,0.421875
1,15,0.468750,0.750020,485.000000,-0.015625,0.468750
1,16,0.515625,0.750020,318.000000,-0.015625,0.515625
1,17,0.562500,0.750020,86.000000,0.000000,0.562500
1,18,0.375000,0.875023,17.000000,0.000000,0.375000
1,19,0.421875,0.875023,113.000000,0.000000,0.421875
1,20,0.468750,0.875023,207.000000,-0.015625,0.468750
2,1,0.468750,0.375010,90.000000,-0.015625,0.468750
2,2,0.515625,0.375010,166.000000,-0.015625,0.515625
2,3,0.562500,0.375010,119.000000,-0.017578,0.562500
2,4,0.421875,0.500013,114.000000,0.000000,0.421875
2,5,0.468750,0.500013,336.000000,-0.015625,0.468750
2,6,0.515625,0.500013,432.000000,-0.015625,0.515625
2,7,0.562500,0.500013,263.000000,-0.017578,0.562500
2,8,0.609375,0.500013,72.000000,-0.208984,0.572266
2,9,0.421875,0.625017,260.000000,0.000000,0.421875
2,10,0.468750,0.625017,547.000000,-0.015625,0.468750
2,11,0.515625,0.625017,487.000000,-0.015625,0.515625
2,12,0.562500,0.625017,263.000000,0.000000,0.562500
2,13,0.375000,0.750020,38.000000,0.000000,0.375000
2,14,0.421875,0.750020,265.000000,0.000000,0.421875
2,15,0.468750,0.750020,485.000000,-0.015625,0.468750
2,16,0.515625,0.750020,318.000000,-0.015625,0.515625
